element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""458.00477""","=""0.00005""","=""560""","=""2.4e+06""",B,"=""7593.1484""","=""29420.8645""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",,"=""T4913""","=""L14866""",
La,2,"=""458.006""","=""""","=""200""","=""3.13e+07""",B+,"=""5718.12""","=""27545.85""","=""5d2""","=""a 3P""","=""1""","=""6s.6p""","=""y 3P*""","=""0""",,"=""T7455""","=""L3475""",
Sn,2,"=""458.022""","=""0.013""","=""140""","=""7.7e+06""",D+,"=""89294.055""","=""111120.8""","=""5s2.4f""","=""2F*""","=""5/2""","=""5s2.8g""","=""2G""","=""7/2""",,"=""T9352""","=""L3368""",
V,1,"=""458.03968""","=""0.00012""","=""4400000""","=""4.70e+06""",B+,"=""137.383""","=""21963.437""","=""3d3.4s2""","=""a 4F""","=""5/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4G*""","=""7/2""",,"=""T9399""","=""L15916""",
Th,1,"=""458.04075""","=""0.00004""","=""76""","=""""",,"=""11601.03035""","=""33427.0409""","=""6d3.(4P).7s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Ne,2,"=""458.04180""","=""0.00014""","=""160""","=""""",,"=""281998.2635""","=""303824.2119""","=""2s2.2p4.(3P).4s""","=""4P""","=""5/2""","=""2s2.2p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L9088""",
Ti,2,"=""458.0435""","=""0.0004""","=""6""","=""1.3e+05""",D,"=""9930.7766""","=""31756.6406""","=""3d2.(3P).4s""","=""b 4P""","=""3/2""","=""3d2.(3F).4p""","=""z 2D*""","=""3/2""",,"=""T2403n""","=""u37""",
Fe,1,"=""458.0459""","=""0.0003""","=""30""","=""""",,"=""22838.323""","=""44664.075""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""2""",,"=""""","=""L11631""",
Pt,1,"=""458.0537""","=""0.0006""","=""400bl""","=""""",,"=""13496.2595""","=""35321.6370""","=""5d9.6s""","=""b 1D""","=""2""","=""5d8.6s.(4F).6p""","=""a 5D*""","=""3""",,"=""""","=""L6581""",
Fe,1,"=""458.05771""","=""0.00017""","=""245""","=""4.0e+05""",D,"=""29469.024""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,"=""T2578n""","=""L11631""",
V,1,"=""458.0645""","=""0.0002""","=""47000""","=""""",,"=""26122.094&dagger;""","=""47946.974""","=""3d4.(5D).4p""","=""y 4F*""","=""7/2""","=""47946e""","=""4F""","=""9/2""",,"=""""","=""L15916""",
Pt,1,"=""458.06670""","=""0.00021""","=""67""","=""""",,"=""38815.8940""","=""60640.659""","=""5d8.6s.(2D).6p""","=""a 3F*""","=""2""","=""5d9.7s""","=""3D""","=""2""",,"=""""","=""L6581""",
Re,1,"=""458.068""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ta,1,"=""458.069""","=""""","=""28""","=""2.10e+05""",B,"=""9705.38""","=""31530.02""","=""5d3.6s2""","=""a 2G""","=""7/2""","=""""","=""315*""","=""9/2""",,"=""T4976""","=""L7606,L3475""",
Xe,2,"=""458.070""","=""""","=""80Hl""","=""""",,"=""132207.76""","=""154032.42""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(1D<2>).6d""","=""2[2]""","=""5/2""",,"=""""","=""L6925""",
Th,2,"=""458.0758""","=""0.0003""","=""24""","=""""",,"=""15453.03596""","=""37277.3711""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""7/2""",,"=""""","=""L2372""",
Th,1,"=""458.09810""","=""0.00021""","=""11""","=""""",,"=""18431.686609""","=""40254.9660""","=""5f.7s2.7p""","=""3G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Hf,1,"=""458.1030""","=""0.0007""","=""420""","=""""",,"=""21738.7225""","=""43561.796""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""1""","=""6p2.(3P).5d.(2P).6s""","=""d 3P""","=""1""",,"=""""","=""L16323""",
Cr,1,"=""458.10362""","=""0.00011""","=""14""","=""""",,"=""24897.4635""","=""46720.4711""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""4""",,"=""""","=""L14866""",
Pm,1,"=""458.114""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
Th,1,"=""458.117315""","=""0.000017""","=""720""","=""""",,"=""10783.15535""","=""32605.50954""","=""6d.7s2.7p""","=""3F*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Fe,1,"=""458.1191""","=""0.0003""","=""60""","=""""",,"=""37157.566""","=""58979.823""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.4s.(4D).4d""","=""3D""","=""2""",,"=""""","=""L11631""",
V,1,"=""458.122""","=""0.003""","=""59000bl""","=""1.53e+06""",B,"=""15103.784""","=""36925.893&dagger;""","=""3d3.4s2""","=""a 2H""","=""9/2""","=""3d4.(3F2).4p""","=""x 2F*""","=""7/2""",,"=""T9399""","=""L4235""",
Th,2,"=""458.12297""","=""0.00004""","=""69""","=""""",,"=""16906.59928""","=""38728.6822""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f.6d.(1D*).7p""","=""""","=""5/2""",,"=""""","=""L5951""",
Fe,2,"=""458.1268""","=""0.0003""","=""80bl(Fe II)*""","=""""",,"=""50142.811""","=""71964.750""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""458.1268""","=""0.0003""","=""80bl(Fe II)*""","=""""",,"=""85184.773""","=""107006.684""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2H*""","=""9/2""",,"=""""","=""L18349c148""",
Gd,1,"=""458.129""","=""""","=""410""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Sr,4,"=""458.1322""","=""0.002""","=""30""","=""""",,"=""338581.20""","=""360403.00""","=""4s2.4p4.(3P<1>).5d""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<1>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L4311""",
Y,1,"=""458.1325""","=""""","=""35""","=""1.48e+07""",B+,"=""15326.741""","=""37148.377""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",,"=""T9421""","=""L7610,L3475""",
Ca,1,"=""458.140""","=""""","=""23""","=""2.09e+07""",C,"=""20349.260""","=""42170.558""","=""3p6.3d.4s""","=""3D""","=""2""","=""3p6.4s.4f""","=""3F*""","=""3""",,"=""T539n,LS""","=""L6097""",
Th,1,"=""458.14287""","=""0.00004""","=""79""","=""""",,"=""13962.51989""","=""35783.6541""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L5951""",
Ca,1,"=""458.147""","=""""","=""23""","=""3.5e+06""",D,"=""20349.260""","=""42170.214""","=""3p6.3d.4s""","=""3D""","=""2""","=""3p6.4s.4f""","=""3F*""","=""2""",,"=""T539n,T866,LS""","=""L6097""",
Fe,1,"=""458.1508""","=""0.0004""","=""1550bl""","=""5.9e+05""",D,"=""26140.179""","=""47960.940""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,"=""T2578n""","=""L11631""",
Sm,1,"=""458.158""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""458.15820""","=""0.00003""","=""130""","=""""",,"=""15242.89888""","=""37063.3065""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""5f.6d.(3H*).7p""","=""""","=""9/2""",,"=""""","=""L5951""",
Co,1,"=""458.160""","=""""","=""190""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Nb,1,"=""458.162""","=""""","=""480""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""458.1635""","=""""","=""3w""","=""""",,"=""28898.96""","=""50718.90""","=""5d4.6s2""","=""3P1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Zn,1,"=""458.167""","=""0.004""","=""""","=""""",,"=""53672.2398""","=""75492.25""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.22p""","=""1P*""","=""1""",,"=""""","=""L13951""",
P,2,"=""458.171""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3986""",
Ti,3,"=""458.1730""","=""""","=""8""","=""""",,"=""148111.10""","=""169930.80""","=""3p6.3d.5p""","=""3F*""","=""3""","=""3p6.3d.6s""","=""3D""","=""2""",,"=""""","=""L3593""",
Sm,1,"=""458.173""","=""""","=""440""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Y,1,"=""458.17711""","=""""","=""30""","=""8.7e+06""",B+,"=""15328.865""","=""37148.377""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",,"=""T9421""","=""L7610,L3475""",
Th,2,"=""458.1815""","=""0.0003""","=""12""","=""""",,"=""27249.54521""","=""49068.8105""","=""5f.(2F*).6d2.(3P)""","=""4D*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",,"=""""","=""L2372""",
Ne,2,"=""458.200""","=""0.004""","=""40bl""","=""""",,"=""281171.3566""","=""302989.805""","=""2s2.2p4.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L1406""",
Sc,1,"=""458.2029""","=""0.0010""","=""4""","=""""",,"=""15041.902""","=""36860.209""","=""3d2.(3F).4s""","=""2F""","=""7/2""","=""3d2.(3P).4p""","=""4D*""","=""5/2""",,"=""""","=""L4189c12""",
Ne,1,"=""458.2035""","=""0.0001""","=""1500""","=""""",,"=""149824.2215""","=""171642.4494""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
Cr,1,"=""458.204""","=""0.010""","=""2w*""","=""""",,"=""27816.7783""","=""49635.184""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5G*""","=""6""",,"=""""","=""L808""",
Cr,1,"=""458.204""","=""0.010""","=""2w*""","=""""",,"=""35884.255""","=""57702.257""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d5.(2F1).4p""","=""t 3G*""","=""5""",,"=""""","=""L808""",
Cr,1,"=""458.204""","=""0.010""","=""2w*""","=""""",,"=""31986.786""","=""53804.711""","=""3d4.4s2""","=""a 1G""","=""4""","=""3d3.(4F).4s2.4p""","=""v 3G*""","=""3""",,"=""""","=""L808""",
Ne,2,"=""458.2043""","=""0.0010""","=""60bl""","=""""",,"=""281025.9326""","=""302844.085""","=""2s2.2p4.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L1406""",
Hf,1,"=""458.2080""","=""0.0011""","=""42""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Ne,1,"=""458.2105""","=""0.0020""","=""150""","=""""",,"=""149824.2215""","=""171642.1580""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
Sr,4,"=""458.2146""","=""0.002""","=""20""","=""""",,"=""336333.74""","=""358151.51""","=""4s2.4p4.(3P<1>).5d""","=""2[1]""","=""1/2""","=""4s2.4p4.(3P<1>).6p""","=""2[0]*""","=""1/2""",,"=""""","=""L4311""",
Y,1,"=""458.2160""","=""""","=""25""","=""1.79e+07""",C+,"=""15221.633""","=""37039.285""","=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""4d2.(3P).5p""","=""y 4P*""","=""1/2""",,"=""T9421""","=""L7610""",
Hf,1,"=""458.2260""","=""0.0011""","=""42""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Pb,2,"=""458.227""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2579""",
Zr,1,"=""458.229""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Yb,1,"=""458.236""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,1,"=""458.240""","=""0.003""","=""6""","=""3.2e+06""",D,"=""33113.212""","=""54929.66""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d5.(4G).5p""","=""v 3H*""","=""5""",,"=""T3963""","=""L808""",
Th,2,"=""458.24343""","=""0.00006""","=""22""","=""""",,"=""22834.13401""","=""44650.4900""","=""6d3""","=""2F""","=""7/2""","=""6d2.(3P).7p""","=""*""","=""7/2""",,"=""""","=""L5951""",
Ne,1,"=""458.24521""","=""0.00004""","=""1500""","=""""",,"=""149657.0392""","=""171473.311""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
Ce,2,"=""458.250""","=""""","=""420""","=""1.41e+07""",B+,"=""5616.739""","=""27432.782""","=""4f2.(3H).6s""","=""2H""","=""9/2""","=""4f2.(3H<4>).6p<3/2>""","=""(4,3/2)*""","=""9/2""",,"=""T8629""","=""L3475""",
Gd,2,"=""458.253""","=""""","=""130""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ne,1,"=""458.2556""","=""0.0020""","=""150""","=""""",,"=""149824.2215""","=""171639.9741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Xe,1,"=""458.27472""","=""0.00005""","=""""","=""1.3e+06""",C,"=""68045.156""","=""89860.015""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""",,"=""T5100n,T4106n""","=""L7292""",
Th,2,"=""458.27788""","=""0.00021""","=""12""","=""""",,"=""15786.98590""","=""37601.7026""","=""6d3""","=""4P""","=""5/2""","=""6d.7s.(3D).7p""","=""*""","=""3/2""",,"=""""","=""L12239""",
Fe,2,"=""458.2835""","=""0.0015""","=""80""","=""3.4e+04""",C,"=""22939.3512""","=""44753.8179""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T7589""","=""L7357,L18198""",
Tm,1,"=""458.2842""","=""0.0005""","=""170""","=""6.9e+05""",B+,"=""8771.243""","=""30585.65""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f12.(3F<3>).5d<3/2>.6s2""","=""""","=""3/2""",,"=""T6708""","=""L2006""",
Fe,1,"=""458.2939""","=""0.0003""","=""60""","=""""",,"=""22946.816""","=""44760.746""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""1""",,"=""""","=""L11631""",
Kr,1,"=""458.297""","=""""","=""4""","=""""",,"=""85191.6166""","=""107005.371""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",,"=""""","=""L3988""",
Kr,2,"=""458.29783""","=""""","=""300hl""","=""7.6e+07""",D,"=""136069.229""","=""157883.65""","=""4s2.4p4.(3P).5p""","=""4D*""","=""5/2""","=""4s2.4p4.(3P).6s""","=""4P""","=""3/2""",,"=""T3408""","=""L605""",
Ne,1,"=""458.2980""","=""0.0020""","=""50""","=""""",,"=""151038.4524""","=""172852.13""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
Sr,1,"=""458.2993""","=""0.0005""","=""1100""","=""""",,"=""21698.452""","=""43512.1658""","=""5s.5p""","=""1P*""","=""1""","=""5s.10s""","=""1S""","=""0""",,"=""""","=""L4447""",
Th,1,"=""458.30620""","=""0.00006""","=""25""","=""""",,"=""15490.077832""","=""37303.4367""","=""5f.6d.7s2""","=""3G*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Gd,1,"=""458.307""","=""""","=""410""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,2,"=""458.3409""","=""0.0002""","=""10""","=""1.0e+05""",D,"=""9395.8020""","=""31207.5111""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4p""","=""z 2F*""","=""5/2""",,"=""T4502""","=""u37""",
Th,1,"=""458.35140""","=""0.00021""","=""3""","=""""",,"=""11877.839132""","=""33689.0444""","=""6d.7s2.7p""","=""3D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Hf,1,"=""458.3530""","=""0.0011""","=""42""","=""""",,"=""23327.739""","=""45138.894""","=""5d3.(b 4F).6s""","=""b 3F""","=""2""","=""""","=""4514*""","=""2""",,"=""""","=""L16323""",
Th,2,"=""458.36544""","=""0.00004""","=""70""","=""""",,"=""15242.89888""","=""37053.4409""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""5f.7s.(3F*).7p""","=""""","=""11/2""",,"=""""","=""L5951""",
Fe,1,"=""458.37205""","=""0.00017""","=""112""","=""""",,"=""25091.599""","=""46901.832""","=""3d7.(2P).4s""","=""c 3P""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""",,"=""""","=""L11631""",
V,1,"=""458.37802""","=""0.00015""","=""210000""","=""""",,"=""15688.862""","=""37498.808""","=""3d4.(3F2).4s""","=""b 4F""","=""5/2""","=""3d4.(3F2).4p""","=""v 4G*""","=""5/2""",,"=""""","=""L15916""",
Fe,2,"=""458.38292""","=""0.00002""","=""1500""","=""7.2e+05""",C+,"=""22637.1950""","=""44446.9051""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T7589""","=""L18349c139""",
Hf,1,"=""458.3860""","=""0.0011""","=""83""","=""""",,"=""28583.7248""","=""50393.234""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""","=""""","=""5039""","=""4""",,"=""""","=""L16323""",
Th,1,"=""458.38745""","=""0.00004""","=""61""","=""""",,"=""21077.152101""","=""42886.6475""","=""6d2.7s.7p""","=""5F*""","=""5""","=""""","=""""","=""4 or 5""",,"=""""","=""L5951""",
Cr,1,"=""458.38980""","=""0.00011""","=""13""","=""1.6e+06""",D,"=""24299.8419""","=""46109.2219""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T3963""","=""L14866""",
Th,1,"=""458.40413""","=""0.00021""","=""12""","=""""",,"=""23015.15141""","=""44823.8521""","=""""","=""*""","=""5""","=""""","=""""","=""5 or 6""",,"=""""","=""L12239""",
Cr,1,"=""458.40855""","=""0.00006""","=""46""","=""2.1e+06""",D,"=""25177.3539""","=""46985.8465""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""5""",,"=""T3963""","=""L14866""",
Th,2,"=""458.4159""","=""0.0003""","=""12""","=""""",,"=""22642.10563""","=""44450.2775""","=""5f.6d.(1H*).7s""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",,"=""""","=""L2372""",
Cs,2,"=""458.41838""","=""0.00014""","=""360""","=""""",,"=""155974.6533""","=""177782.6761""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7g""","=""2[7/2]*""","=""3""",,"=""""","=""L12126""",
W,1,"=""458.4244""","=""""","=""3""","=""""",,"=""31077.80""","=""52885.50""","=""""","=""""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153,L416""",
Th,1,"=""458.42455""","=""0.00004""","=""96""","=""""",,"=""7502.287636""","=""29310.01688""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Th,1,"=""458.42990""","=""0.00006""","=""27""","=""""",,"=""19948.395175""","=""41755.8700""","=""6d2.7s.7p""","=""5F*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Th,2,"=""458.43670""","=""0.00003""","=""170""","=""""",,"=""12472.17734""","=""34279.3288""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f2.(1G).7s""","=""""","=""7/2""",,"=""""","=""L5951""",
Na,2,"=""458.4383""","=""0.0003""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Ru,1,"=""458.444""","=""""","=""1700""","=""""",,"=""8084.12""","=""29890.91""","=""4d7.(a 4F).5s""","=""a 3F""","=""3""","=""4d7.(a 4F).5p""","=""z 3G*""","=""4""",,"=""""","=""L3475""",
W,1,"=""458.4536""","=""""","=""3""","=""""",,"=""34302.04""","=""56108.44""","=""5d5.(2G2).6s""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
Fe,1,"=""458.47160""","=""0.00017""","=""282""","=""""",,"=""29056.324""","=""50861.816""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""458.47519""","=""0.00015""","=""8""","=""7.5e+05""",D,"=""24303.9025""","=""46109.2219""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""y 3D*""","=""2""",,"=""T3963""","=""L14866""",
Fe,1,"=""458.48189""","=""0.00006""","=""407""","=""""",,"=""29056.324""","=""50861.327""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""2""",,"=""""","=""L11631""",
Sm,2,"=""458.483""","=""""","=""560""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Tb,2,"=""458.484""","=""""","=""65""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cu,2,"=""458.4899""","=""0.0003""","=""60""","=""""",,"=""116325.9148""","=""138130.5345""","=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""3""","=""3d9.(2D<3/2>).4f""","=""2[5/2]*""","=""3""",,"=""""","=""L869c171""",
Cr,1,"=""458.49342""","=""0.00006""","=""25""","=""3.9e+06""",D,"=""27222.9417""","=""49027.3953""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""2""",,"=""T3963""","=""L14866""",
Hf,1,"=""458.5000""","=""0.0011""","=""42""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Sc,1,"=""458.5017""","=""0.0010""","=""4""","=""""",,"=""14926.061""","=""36730.110""","=""3d2.(3F).4s""","=""2F""","=""5/2""","=""3d2.(1D).4p""","=""2F*""","=""7/2""",,"=""""","=""L4189c12""",
Cr,1,"=""458.50747""","=""0.00006""","=""25""","=""3.3e+06""",D,"=""27816.7783""","=""49620.5640""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d5.(4D).4p""","=""x 3F*""","=""4""",,"=""T4288""","=""L14866""",
Hf,1,"=""458.5100""","=""0.0011""","=""83""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Th,1,"=""458.51750""","=""0.00021""","=""7""","=""""",,"=""14243.993748""","=""36047.3034""","=""5f.6d.7s2""","=""3P*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Fe,9,"=""458.53""","=""""","=""""","=""""",,"=""433818.8""","=""455612.2""","=""3s2.3p5.3d""","=""3F*""","=""2""","=""3s2.3p5.3d""","=""3D*""","=""3""",M1,"=""""","=""L19611""",
Fe,1,"=""458.5340""","=""0.0003""","=""30""","=""""",,"=""37162.746""","=""58965.275""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d6.4s.(4D).4d""","=""3G""","=""4""",,"=""""","=""L11631""",
Xe,2,"=""458.548""","=""""","=""500H""","=""""",,"=""113705.40""","=""135507.32""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""","=""5s2.5p4.(3P<2>).6d""","=""2[3]""","=""7/2""",,"=""""","=""L6925""",
Pm,1,"=""458.549""","=""""","=""300r""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
W,1,"=""458.5624""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Cr,1,"=""458.5713""","=""0.002""","=""3""","=""""",,"=""27816.7783""","=""49617.5488""","=""3d4.4s2""","=""b 3G""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",,"=""""","=""L808""",
Sn,3,"=""458.58""","=""0.04""","=""53""","=""""",,"=""139639.10""","=""161439.5""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.6p""","=""3P*""","=""2""",,"=""""","=""L17864""",
Al,2,"=""458.5817""","=""""","=""500""","=""1.00e+07""",C+,"=""121483.50""","=""143283.75""","=""3s.4d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""4""",,"=""T6298c4,LS""","=""L4575""",
Ac,2,"=""458.5831""","=""0.0009""","=""48h""","=""8.5e+06""",C+,"=""36144.291""","=""57944.517""","=""5f.7s""","=""3F*""","=""3""","=""5f.7p""","=""3F""","=""3""",,"=""T10463""","=""L7344""",
Ca,1,"=""458.587""","=""""","=""24""","=""2.29e+07""",C,"=""20371.000""","=""42171.026""","=""3p6.3d.4s""","=""3D""","=""3""","=""3p6.4s.4f""","=""3F*""","=""4""",,"=""T539n,LS""","=""L6097""",
