element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ac,1,"=""461.3930""","=""0.0006""","=""4000""","=""1.2e+07""",D+,"=""2231.432""","=""23898.867""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""2F*""","=""5/2""",,"=""T10463""","=""L7344""",
Tm,1,"=""461.3967""","=""0.0005""","=""500""","=""2.08e+07""",B+,"=""17752.634""","=""39419.90""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""5/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[5/2]*""","=""3/2""",,"=""T6708""","=""L2006,L3475""",
Th,2,"=""461.39786""","=""0.00006""","=""26""","=""""",,"=""22106.43260""","=""43773.6347""","=""6d3""","=""2F""","=""5/2""","=""6d2.(1G).7p""","=""*""","=""7/2""",,"=""""","=""L5951""",
Ar,2,"=""461.410""","=""0.002""","=""1h""","=""""",,"=""174409.8916""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Sc,4,"=""461.4108""","=""""","=""4bl""","=""""",,"=""526571.2""","=""548237.8""","=""3s2.3p5.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""","=""3s2.3p5.(2P*<1/2>).6h""","=""2[9/2]""","=""5""",,"=""""","=""L2826""",
Cr,1,"=""461.41468""","=""0.00008""","=""21""","=""""",,"=""25038.4981""","=""46704.9067""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""w 5F*""","=""5""",,"=""""","=""L14866""",
Th,1,"=""461.41628""","=""0.00005""","=""49""","=""""",,"=""15493.21943""","=""37159.5540""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Hf,1,"=""461.4192""","=""0.0010""","=""1600""","=""""",,"=""25194.5090""","=""46860.761""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""1""","=""5d2.(3P).6s.(a 4P).7s""","=""c 5P""","=""2""",,"=""""","=""L16323""",
Fe,1,"=""461.42051""","=""0.00017""","=""145""","=""2.8e+05""",E,"=""26623.735""","=""48289.871""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""1""",,"=""T2578n""","=""L11631""",
Th,1,"=""461.42784""","=""0.00006""","=""18""","=""""",,"=""20054.77119""","=""41720.5646""","=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Ti,1,"=""461.429""","=""0.0019""","=""1""","=""""",,"=""19421.580""","=""41087.404""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d2.4s.(2F).5s""","=""e 1F""","=""3""",,"=""""","=""L17997""",
Ne,1,"=""461.4391""","=""0.0001""","=""1000""","=""""",,"=""149824.2215""","=""171489.486""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L7292""",
Tm,2,"=""461.447""","=""""","=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Gd,1,"=""461.450""","=""""","=""520""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Kr,2,"=""461.450""","=""""","=""15""","=""""",,"=""140135.395""","=""161800.17""","=""4s2.4p4.(3P).5p""","=""2P*""","=""3/2""","=""4s2.4p4.(3P).6s""","=""2P""","=""3/2""",,"=""""","=""L7386""",
Cr,1,"=""461.45106""","=""0.00006""","=""45""","=""5.7e+06""",D,"=""31055.2777""","=""52719.978""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""3G*""","=""4""",,"=""T3963""","=""L14866""",
Na,2,"=""461.455""","=""0.010""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Br,1,"=""461.4579""","=""0.0006""","=""2500""","=""""",,"=""67183.58""","=""88848.01""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""4s2.4p4.(3P<1>).6p""","=""2[2]*""","=""5/2""",,"=""""","=""L351""",
Hf,1,"=""461.4600""","=""0.0011""","=""410""","=""""",,"=""27516.4201""","=""49180.692""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""4""","=""5d4""","=""b 3H""","=""5""",,"=""""","=""L16323""",
Rb,2,"=""461.4614""","=""0.0005""","=""10""","=""""",,"=""186006.150""","=""207670.37""","=""4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""4p5.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L2590""",
Tm,1,"=""461.4696""","=""0.0005""","=""23""","=""5.7e+05""",C+,"=""18853.823""","=""40517.661""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",,"=""T6708""","=""L2006""",
Sc,4,"=""461.4728""","=""""","=""3bl""","=""""",,"=""526574.0""","=""548237.8""","=""3s2.3p5.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""","=""3s2.3p5.(2P*<1/2>).6h""","=""2[9/2]""","=""4""",,"=""""","=""L2826""",
Cr,1,"=""461.47304""","=""0.00008""","=""22""","=""""",,"=""27176.1072""","=""48839.778""","=""3d5.(4P).4s""","=""b 3P""","=""1""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""1""",,"=""""","=""L14866""",
Dy,1,"=""461.482""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Xe,3,"=""461.483""","=""0.005""","=""2""","=""""",,"=""161809.98""","=""183472.95""","=""5s2.5p3.(2D*).5d""","=""1D*""","=""2""","=""5s2.5p3.(2D*).4f""","=""1P""","=""1""",,"=""""","=""L10579""",
Zn,1,"=""461.483""","=""0.004""","=""""","=""""",,"=""53672.2398""","=""75335.49""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.18p""","=""1P*""","=""1""",,"=""""","=""L13951""",
W,1,"=""461.4830""","=""""","=""6""","=""""",,"=""19535.01""","=""41198.14""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
