element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""398.38150""","=""0.00016""","=""398.381460""","=""0.000007""","=""4""","=""""",,"=""11241.73043""","=""36336.2027""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Ti,1,"=""398.38254""","=""0.00019""","=""398.38274""","=""0.00005""","=""14""","=""""",,"=""17075.258""","=""42169.6496""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d2.4s.(4F).4d""","=""3G""","=""5""",,"=""""","=""L10989""",
Tb,2,"=""398.385""","=""""","=""""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""398.3870""","=""0.0010""","=""398.38697""","=""0.00016""","=""74""","=""""",,"=""15673.341""","=""40767.466""","=""5d3.(b 4F).6s""","=""a 5F""","=""3""","=""5d2.(a 3P).6s.(a 2P).6p""","=""u 3D*""","=""3""",,"=""""","=""L16323""",
Cr,1,"=""398.38989""","=""0.00003""","=""398.389886""","=""0.000021""","=""470""","=""1.05e+08""",C,"=""20520.9029""","=""45614.8444""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""y 5H*""","=""4""",,"=""T2268""","=""L14866""",
Hg,1,"=""398.392""","=""0.005""","=""398.396""","=""0.003""","=""2""","=""""",,"=""68886.43""","=""93980.0""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6p2""","=""3P""","=""1""",,"=""""","=""L15226c86""",
Hg,2,"=""398.39312""","=""0.00003""","=""398.39312""","=""0.00006""","=""10000000c""","=""3.2e+06""",,"=""35514.624""","=""60608.362""","=""5d9.6s2""","=""2D""","=""5/2""","=""5d10.6p""","=""2P*""","=""3/2""",,"=""T7226""","=""L11760""",
Fe,1,"=""398.39561""","=""0.00005""","=""398.395594""","=""0.000022""","=""18200""","=""5.72e+06""",B,"=""21999.130""","=""47092.712""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""3""",,"=""T5720""","=""L11631""",
Ne,3,"=""398.396""","=""""","=""398.396""","=""0.005""","=""180w""","=""""",,"=""488046.23""","=""513139.8""","=""2s2.2p3.(2D*).4d""","=""1G*""","=""4""","=""2s2.2p3.(2D*).5f""","=""3H""","=""5""",,"=""""","=""L10704""",
Ne,1,"=""398.4065""","=""0.0020""","=""398.4050""","=""0.0014""","=""20""","=""""",,"=""148257.7898""","=""173350.78""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
