element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
S,2,"=""""","=""""","=""376.0024""","=""0.0004""","=""""","=""3.34e+03""",E',"=""114162.312""","=""140750.328""","=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""",,"=""T3186c85""","=""""",
Ru,1,"=""376.003""","=""""","=""376.0015+""","=""""","=""370""","=""""",,"=""3105.49""","=""29693.57""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5F*""","=""1""",,"=""""","=""L3475""",
Sm,2,"=""376.004""","=""""","=""""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""376.00494""","=""0.00004""","=""376.00494""","=""0.00003""","=""117000""","=""4.47e+06""",B,"=""19390.168""","=""45978.008""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""z 3I*""","=""7""",,"=""T4187""","=""L11631""",
Pr,2,"=""376.008""","=""""","=""""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""376.0126""","=""""","=""376.0123""","=""0.0010""","=""200""","=""1.99e+06""",B,"=""3325.53""","=""29912.85""","=""5d4.6s2""","=""5D""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""3""",,"=""T4976""","=""L153""",
V,2,"=""376.02208""","=""0.00003""","=""376.022075""","=""0.000016""","=""9900""","=""4.8e+06""",B,"=""13608.9393""","=""40195.5675""","=""3d4""","=""b 3F2""","=""4""","=""3d3.(4F).4p""","=""z 3F*""","=""3""",,"=""T9616""","=""L18516""",
Th,2,"=""376.02723""","=""0.00004""","=""376.027211""","=""0.000009""","=""160""","=""""",,"=""0.00000""","=""26586.2651""","=""6d.7s2""","=""2D""","=""3/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""3/2""",,"=""""","=""L5951""",
Zr,3,"=""376.0278""","=""""","=""376.0283""","=""""","=""20""","=""2.84e+07""",,"=""120325.62""","=""146911.81""","=""4d.6p""","=""1F*""","=""3""","=""4d.(2D<3/2>).5g""","=""2[7/2]""","=""4""",,"=""T6869""","=""L9267""",
Cr,1,"=""376.028""","=""0.002""","=""376.02849""","=""0.00003""","=""3""","=""""",,"=""24303.9025""","=""50890.077""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""2""",,"=""""","=""L808""",
Th,2,"=""376.02957""","=""0.00004""","=""376.029541""","=""0.000012""","=""110""","=""""",,"=""20120.15582""","=""46706.2562""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",,"=""""","=""L5951""",
V,2,"=""376.0335""","=""0.0007""","=""376.03193""","=""0.00006""","=""1100""","=""""",,"=""20522.148""","=""47108.0794""","=""3d3.(2D2).4s""","=""b 3D""","=""1""","=""3d3.(4P).4p""","=""z 3P*""","=""1""",,"=""""","=""L10089c179""",
I,1,"=""376.034""","=""0.004""","=""376.03498""","=""0.00024""","=""150w""","=""""",,"=""54633.2819""","=""81218.998""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<2>).6f""","=""2[2]*""","=""5/2""",,"=""""","=""L13998""",
W,2,"=""376.03450""","=""""","=""376.03451""","=""0.00011""","=""13""","=""""",,"=""28118.836""","=""54704.585""","=""5d4.(3P1).6s""","=""4P""","=""5/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
Rh,1,"=""376.040""","=""""","=""376.0402""","=""""","=""1000""","=""""",,"=""5657.97""","=""32243.32""","=""4d9""","=""a 2D""","=""3/2""","=""4d8.(3F).5p""","=""z 4G*""","=""5/2""",,"=""""","=""L3475""",
Ne,2,"=""376.051""","=""0.002""","=""376.0531""","=""0.0003""","=""9""","=""""",,"=""291801.858""","=""318386.291""","=""2s2.2p4.(3P).4p""","=""4D*""","=""3/2""","=""2s2.2p4.(3P).7s""","=""2P""","=""3/2""",,"=""""","=""L11529""",
Fe,1,"=""376.05316""","=""0.00004""","=""376.053169""","=""0.000020""","=""14800""","=""5.50e+06""",B+,"=""17927.382""","=""44511.812""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d7.(4P).4p""","=""y 5S*""","=""2""",,"=""T5720""","=""L11631""",
V,1,"=""376.0622""","=""0.0003""","=""376.06242""","=""0.00004""","=""12000""","=""""",,"=""9824.626""","=""36408.402""","=""3d3.4s2""","=""a 4P""","=""5/2""","=""3d3.(4P).4s.4p.(3P*)""","=""y 4S*""","=""3/2""",,"=""""","=""L15916""",
W,1,"=""376.0630""","=""""","=""376.0626""","=""0.0010""","=""15""","=""""",,"=""28797.24""","=""55381.00""","=""5d4.6s.(6D).6p""","=""7D*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L153""",
Sm,2,"=""376.069""","=""""","=""""","=""""","=""1900""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Gd,2,"=""376.071""","=""""","=""""","=""""","=""620""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""376.07330""","=""0.00020""","=""376.073315""","=""0.000009""","=""24""","=""""",,"=""12485.68373""","=""39068.6896""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f2.(3F).6d""","=""""","=""7/2""",,"=""""","=""L2372""",
Hf,1,"=""376.0750""","=""0.0010""","=""""","=""""","=""38""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
V,1,"=""376.07936""","=""0.00015""","=""376.07931""","=""0.00004""","=""150000""","=""""",,"=""10892.520""","=""37475.102&dagger;""","=""3d3.4s2""","=""a 2G""","=""7/2""","=""3d3.(2D2).4s.4p.(3P*)""","=""w 2F*""","=""7/2""",,"=""""","=""L15916""",
Mo,1,"=""376.0876""","=""""","=""376.08756+""","=""""","=""90""","=""2.16e+07""",B,"=""25997.337""","=""52579.336""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""""","=""60*""","=""4""",,"=""T5293""","=""L10250,L3475""",
Gd,2,"=""376.092""","=""""","=""""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""376.11018""","=""0.00003""","=""376.110168""","=""0.000009""","=""380""","=""""",,"=""12488.28836""","=""39068.6896""","=""5f.6d.(3F*).7s""","=""4F*""","=""9/2""","=""5f2.(3F).6d""","=""""","=""7/2""",,"=""""","=""L5951""",
Eu,2,"=""376.112""","=""""","=""""","=""""","=""260""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Tb,1,"=""376.114""","=""""","=""""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Pt,2,"=""376.11624""","=""0.00020""","=""376.11617""","=""0.00013""","=""270""","=""""",,"=""74619.157""","=""101199.134""","=""5d8.6p""","=""74619*""","=""5/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L10146""",
O,3,"=""""","=""""","=""376.1166""","=""""","=""""","=""6.22e+05""",C+,"=""374795.14""","=""401375.09""","=""2s.2p2.(4P).3p""","=""3D*""","=""3""","=""2s.2p2.(4P).3d""","=""3F""","=""2""",,"=""T5376LS""","=""""",
V,2,"=""376.1188""","=""0.0009""","=""376.11890""","=""0.00006""","=""110""","=""""",,"=""20522.148""","=""47101.9320""","=""3d3.(2D2).4s""","=""b 3D""","=""1""","=""3d3.(4P).4p""","=""y 5D*""","=""2""",,"=""""","=""L10089c179""",
W,1,"=""376.1212""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Th,1,"=""376.12173""","=""0.00004""","=""376.121669""","=""0.000013""","=""140""","=""""",,"=""14032.085336""","=""40611.6738""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Ac,2,"=""376.1241""","=""0.0006""","=""376.1239""","=""0.0004""","=""2400""","=""1.5e+06""",E,"=""20848.198""","=""47427.63""","=""6d2""","=""1G""","=""4""","=""5f.6d""","=""3G*""","=""4""",,"=""T10463""","=""L7344""",
Ti,2,"=""376.13202""","=""0.00003""","=""376.13206""","=""0.00003""","=""11900""","=""1.20e+08""",A',"=""4628.6571""","=""31207.5111""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d2.(3F).4p""","=""z 2F*""","=""5/2""",,"=""T7385""","=""u37""",
Tm,2,"=""376.133""","=""""","=""376.1333+""","=""""","=""6000""","=""3.51e+07""",,"=""0.00""","=""26578.77""","=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""4f12.(3F).6s2""","=""3F""","=""3""",,"=""T6708""","=""L3475""",
Cr,1,"=""376.139""","=""0.002""","=""376.13950""","=""0.00006""","=""10""","=""""",,"=""31008.9708""","=""57587.299""","=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""3d5.(2F1).4p""","=""t 3G*""","=""4""",,"=""""","=""L808""",
O,2,"=""376.1400""","=""""","=""376.1403""","=""""","=""9""","=""4.37e+06""",D,"=""228723.84""","=""255302.11""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",,"=""T5723LS""","=""L10621""",
Fe,1,"=""376.14083""","=""0.00004""","=""376.140823""","=""0.000020""","=""4570""","=""1.04e+06""",B,"=""20874.482""","=""47452.717""","=""3d6.4s2""","=""b 3F2""","=""3""","=""3d7.(2G).4p""","=""z 1G*""","=""4""",,"=""T5720""","=""L11631""",
Cu,2,"=""376.14270""","=""0.00014""","=""376.14269""","=""0.00006""","=""150""","=""""",,"=""121981.8546""","=""148559.958""","=""3d8.(3F).4s.4p.(3P*)""","=""1D*""","=""2""","=""3d9.(2D<3/2>).6d""","=""2[3/2]""","=""2""",,"=""""","=""L869c171""",
V,1,"=""376.14363""","=""0.00015""","=""376.14371""","=""0.00010""","=""170000""","=""""",,"=""13810.910""","=""40388.941""","=""3d3.4s2""","=""a 2P""","=""1/2""","=""3d3.(2D2).4s.4p.(3P*)""","=""2D*""","=""3/2""",,"=""""","=""L15916""",
Xe,4,"=""376.144""","=""0.001""","=""376.141+""","=""""","=""4""","=""""",,"=""165280.0""","=""191858.2""","=""5s2.5p2.(3P).6s""","=""4P""","=""3/2""","=""5s2.5p2.(3P).4f""","=""4F*""","=""3/2""",,"=""""","=""L11502""",
Th,1,"=""376.146898""","=""0.000021""","=""376.146891""","=""0.000009""","=""800""","=""""",,"=""9804.806547""","=""36382.6128""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Ru,1,"=""376.151""","=""""","=""376.1507+""","=""""","=""600""","=""""",,"=""13699.07""","=""40276.61""","=""4d7.(a 2G).5s""","=""a 3G""","=""3""","=""4d7.(a 2G).5p""","=""y 3G*""","=""4""",,"=""""","=""L3475""",
Th,1,"=""376.15278""","=""0.00003""","=""376.152786""","=""0.000006""","=""330""","=""""",,"=""11241.73043""","=""37819.1202""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L5951""",
O,5,"=""""","=""""","=""376.158""","=""""","=""""","=""1.61e+06""",B,"=""677665.0""","=""704242.0""","=""1s2.2p.(2P*<3/2>).3p""","=""3D""","=""3""","=""1s2.2p.(2P*<3/2>).3d""","=""3D*""","=""2""",,"=""T3843n""","=""""",
Ca,3,"=""376.1608""","=""0.0005""","=""376.1609""","=""0.0006""","=""1200""","=""8.3e+06""",C,"=""245611.88""","=""272188.70""","=""3s2.3p5.4s""","=""3P*""","=""0""","=""3s2.3p5.4p""","=""3S""","=""1""",,"=""T7942""","=""L1405""",
W,1,"=""376.1608""","=""""","=""376.1610""","=""0.0010""","=""10""","=""6.2e+06""",B,"=""18974.51""","=""45551.32""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""3""",,"=""T6977""","=""L153""",
Cr,2,"=""376.16725""","=""0.00010""","=""376.167249""","=""0.000013""","=""6""","=""""",,"=""21822.5042""","=""48398.8721""","=""3d5""","=""a 4P""","=""5/2""","=""3d4.(5D).4p""","=""z 6P*""","=""3/2""",,"=""""","=""L18847""",
Pm,1,"=""376.168""","=""""","=""""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
V,1,"=""376.1690""","=""0.0002""","=""376.16883""","=""0.00008""","=""16000""","=""""",,"=""19078.112""","=""45654.368""","=""3d4.(3F2).4s""","=""a 2F""","=""7/2""","=""45654o""","=""2D*""","=""5/2""",,"=""""","=""L15916""",
Th,1,"=""376.17042""","=""0.00003""","=""376.170419""","=""0.000009""","=""300""","=""""",,"=""13297.43316""","=""39873.5771""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
Hf,1,"=""376.1790""","=""0.0010""","=""""","=""""","=""77""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Tc,1,"=""376.1807""","=""""","=""376.1804""","=""""","=""2000""","=""""",,"=""16025.15""","=""42600.59""","=""4d5.5s2""","=""4G""","=""11/2""","=""4d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L149""",
Cr,2,"=""376.18444""","=""0.00012""","=""376.184459""","=""0.000013""","=""6""","=""""",,"=""21823.7200""","=""48398.8721""","=""3d5""","=""a 4P""","=""1/2""","=""3d4.(5D).4p""","=""z 6P*""","=""3/2""",,"=""""","=""L18847""",
V,1,"=""376.1858""","=""0.0003""","=""376.18575""","=""0.00011""","=""7700""","=""""",,"=""18258.855""","=""44833.916""","=""3d3.(4F).4s.4p.(3P*)""","=""z 6F*""","=""5/2""","=""3d3.4s.(5F).4d""","=""g 6D""","=""3/2""",,"=""""","=""L15916""",
Pr,2,"=""376.187""","=""""","=""""","=""""","=""680""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
O,4,"=""""","=""""","=""376.187""","=""""","=""""","=""5.40e+05""",B,"=""547326""","=""573901""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
Ti,2,"=""376.18721""","=""0.00003""","=""376.187205""","=""0.000020""","=""173""","=""2.21e+07""",B+,"=""20891.7898""","=""47466.7479""","=""3d3""","=""b 2F""","=""7/2""","=""3d2.(1G).4p""","=""x 2F*""","=""7/2""",,"=""T7385""","=""u37""",
Th,2,"=""376.18871""","=""0.00020""","=""376.18854""","=""0.00003""","=""48""","=""""",,"=""18214.42634""","=""44789.2903""","=""5f.(2F*).6d2.(3F)""","=""*""","=""3/2""","=""5f.6d.(1D*).7p""","=""""","=""1/2""",,"=""""","=""L2372""",
Tm,2,"=""376.191""","=""""","=""376.1914+""","=""""","=""4800""","=""1.94e+07""",,"=""0.00""","=""26574.66""","=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""4f12.5d.6s""","=""""","=""4""",,"=""T6708""","=""L3475""",
Kr,3,"=""376.191""","=""""","=""376.1851+""","=""""","=""3""","=""""",,"=""185688.63""","=""212263.74""","=""4s2.4p3.(2P*).4d""","=""3D*""","=""2""","=""4s2.4p3.(2P*).5p""","=""1P""","=""1""",,"=""""","=""L7284""",
Nb,4,"=""376.1922""","=""0.0005""","=""376.1926""","=""0.0004""","=""75000""","=""1.9e+07""",C+,"=""167417.56""","=""193992.14""","=""4d.5d""","=""1P""","=""1""","=""4d.6p""","=""3D*""","=""2""",,"=""T2192""","=""L12094""",
Ir,2,"=""376.1943""","=""0.0010""","=""376.1951""","=""0.0007""","=""14""","=""""",,"=""23727.61""","=""50302.01""","=""5d6.6s2""","=""5D""","=""3""","=""5d6.6s.(6D<9/2>).6p""","=""(9/2,1/2)*""","=""4""",,"=""""","=""L4457,L7593""",
Fe,3,"=""376.197""","=""0.004""","=""376.1916""","=""0.0018""","=""46""","=""""",,"=""134443.91""","=""161018.56""","=""3d5.(2P).4s""","=""1P""","=""1""","=""3d5.(b 2D).4p""","=""1P*""","=""1""",,"=""""","=""L1171""",
Sr,2,"=""376.200""","=""0.010""","=""376.187""","=""0.003""","=""""","=""""",,"=""53286.31""","=""79861.3""","=""4p6.5d""","=""2D""","=""3/2""","=""4p6.7f""","=""2F*""","=""5/2""",,"=""""","=""L3450""",
Th,2,"=""376.20121""","=""0.00020""","=""376.201192""","=""0.000012""","=""24""","=""""",,"=""21297.41708""","=""47871.3872""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",,"=""""","=""L2372""",
I,1,"=""376.204""","=""0.004""","=""376.20395""","=""0.00007""","=""300w""","=""""",,"=""54633.2819""","=""81207.057""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<2>).6f""","=""2[3]*""","=""7/2""",,"=""""","=""L13998""",
Xe,2,"=""376.205""","=""""","=""376.2061+""","=""""","=""3h""","=""""",,"=""112924.84""","=""139498.46""","=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L6925""",
W,1,"=""376.2183""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Gd,1,"=""376.220""","=""""","=""""","=""""","=""870""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""376.22034""","=""0.00011""","=""376.220335""","=""0.000020""","=""1120""","=""2.4e+06""",D,"=""27166.820""","=""53739.438""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""5""",,"=""T2491n""","=""L11631""",
Sr,3,"=""376.2233""","=""0.002""","=""376.2216""","=""0.0010""","=""24""","=""""",,"=""198738.14""","=""225310.67""","=""4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""","=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""""","=""L1771""",
C,1,"=""376.2251""","=""0.0005""","=""376.22449""","=""0.00021""","=""6800""","=""""",,"=""60393.1693""","=""86965.494""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.6p""","=""3D""","=""2""",,"=""""","=""L17684""",
Th,1,"=""376.22574""","=""0.00006""","=""376.225764""","=""0.000007""","=""68""","=""""",,"=""14204.26476""","=""40776.4993""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Xe,3,"=""376.228""","=""0.005""","=""376.2277+""","=""""","=""19""","=""""",,"=""151482.43""","=""178054.53""","=""5s2.5p3.(2P*).6s""","=""3P*""","=""1""","=""5s2.5p3.(2P*).6p""","=""3P""","=""0""",,"=""""","=""L10579""",
Pt,1,"=""376.2401""","=""0.0020""","=""376.24135""","=""0.00013""","=""11""","=""""",,"=""38815.8940""","=""65387.028""","=""5d8.6s.(2D).6p""","=""a 3F*""","=""2""","=""5d9.7d""","=""3D""","=""3""",,"=""""","=""L11529""",
W,1,"=""376.2404""","=""""","=""376.2406""","=""0.0010""","=""1""","=""""",,"=""19535.01""","=""46106.20""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
Th,2,"=""376.24164""","=""0.00004""","=""376.241630""","=""0.000016""","=""190""","=""""",,"=""29515.13456""","=""56086.2486""","=""5f2.(3F).7s""","=""""","=""9/2""","=""5f2.7p ""","=""*""","=""9/2""",,"=""""","=""L5951""",
Si,4,"=""""","=""""","=""376.2431""","=""""","=""""","=""2.10e+08""",A,"=""250008.02""","=""276579.03""","=""2p6.4d""","=""2D""","=""5/2""","=""2p6.5p""","=""2P*""","=""3/2""",,"=""c33""","=""""",
Si,4,"=""376.244""","=""""","=""376.2448""","=""""","=""8""","=""2.33e+07""",A,"=""250008.14""","=""276579.03""","=""2p6.4d""","=""2D""","=""3/2""","=""2p6.5p""","=""2P*""","=""3/2""",,"=""c33""","=""L6098""",
O,2,"=""376.2465""","=""""","=""376.2465""","=""""","=""19""","=""3.10e+07""",B,"=""212161.881""","=""238732.65""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T6632""","=""L10621""",
Cr,1,"=""376.251""","=""0.004""","=""376.25305""","=""0.00006""","=""3w""","=""""",,"=""28636.9634""","=""55207.271""","=""3d5.(4D).4s""","=""a 3D""","=""3""","=""3d5.(2D1).4p""","=""v 3F*""","=""4""",,"=""""","=""L808""",
Co,3,"=""376.254""","=""0.002""","=""376.2539""","=""0.0006""","=""7""","=""2.0e+05""",D,"=""83801.320""","=""110371.568""","=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""",,"=""u37""","=""L3537c164""",
V,2,"=""376.2555""","=""0.0009""","=""376.25656""","=""0.00004""","=""140""","=""""",,"=""46740.0100""","=""73310.0695""","=""3d3.(4P).4p""","=""z 3P*""","=""2""","=""3d3.(4F).4d""","=""3D""","=""2""",,"=""""","=""L10089c179""",
Sm,2,"=""376.259""","=""""","=""""","=""""","=""660""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
N,3,"=""""","=""""","=""376.260""","=""""","=""""","=""4.24e+06""",B,"=""309691.8""","=""336261.6""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
Sr,4,"=""376.2630""","=""0.002""","=""376.2658""","=""0.0010""","=""4""","=""""",,"=""327865.89""","=""354435.30""","=""4s2.4p4.(3P<2>).5d""","=""2[2]""","=""3/2""","=""4s.4d.(3D).4p5.(2P*)""","=""4F*""","=""3/2""",,"=""""","=""L4311""",
Th,2,"=""376.26790""","=""0.00020""","=""376.267396""","=""0.000013""","=""24""","=""""",,"=""17983.38416""","=""44552.6787""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",,"=""""","=""L2372""",
Th,1,"=""376.28140""","=""0.00003""","=""376.281419""","=""0.000012""","=""220""","=""""",,"=""10526.544406""","=""37094.8488""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Th,2,"=""376.288099""","=""0.000016""","=""376.288090""","=""0.000005""","=""1800""","=""""",,"=""6168.35582""","=""32736.1892""","=""5f.6d.(3H*).7s""","=""4H*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""7/2""",,"=""""","=""L5951""",
Th,1,"=""376.293322""","=""0.000011""","=""376.293324""","=""0.000003""","=""4300""","=""""",,"=""3687.987189""","=""30255.45106""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Ce,2,"=""376.298""","=""""","=""376.29726+""","=""""","=""300""","=""""",,"=""7341.007""","=""33908.193""","=""4f2.(3H).6s""","=""2H""","=""11/2""","=""4f2.(3F<4>).6p<1/2>""","=""*""","=""9/2""",,"=""""","=""L3475""",
Cm,1,"=""376.305""","=""""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3587""",
Ti,1,"=""376.3082""","=""0.0004""","=""376.30775""","=""0.00004""","=""8q""","=""""",,"=""17215.390""","=""43781.8353""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""5""","=""3d3.(4F).4d""","=""5G""","=""5""",,"=""""","=""L10989""",
Ar,2,"=""376.3111""","=""0.0006""","=""376.311028""","=""0.000005""","=""2""","=""""",,"=""173393.4658""","=""199959.6798""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""4D""","=""5/2""",,"=""""","=""L14821""",
V,1,"=""376.3137""","=""0.0002""","=""376.31368""","=""0.00006""","=""300000""","=""3.35e+07""",B+,"=""15572.035""","=""42138.062""","=""3d4.(3P2).4s""","=""b 4P""","=""5/2""","=""3d3.(4P).4s.4p.(1P*)""","=""r 4D*""","=""5/2""",,"=""T9399""","=""L15916""",
Cr,2,"=""376.3141""","=""0.0003""","=""376.31415""","=""0.00003""","=""23""","=""""",,"=""74455.8028""","=""101021.7966""","=""3d4.(a 1G).4p""","=""x 2H*""","=""9/2""","=""3d4.(3H).5s""","=""e 2H""","=""9/2""",,"=""""","=""L18847""",
Hf,1,"=""376.3232""","=""0.0004""","=""376.32321""","=""0.00010""","=""770""","=""""",,"=""6572.5498""","=""33137.904""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3P).6s.(a 4P).6p""","=""x 3D*""","=""1""",,"=""""","=""L16323""",
W,1,"=""376.3256""","=""""","=""376.3268""","=""0.0010""","=""2""","=""""",,"=""22852.80""","=""49417.90""","=""5d4.6s2""","=""1G2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
U,1,"=""376.326""","=""""","=""""","=""""","=""330""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""376.32961""","=""0.00006""","=""376.329522""","=""0.000014""","=""59""","=""""",,"=""25381.9224""","=""51946.8309""","=""6d3""","=""""","=""3/2""","=""6d2.(1G).7p""","=""*""","=""5/2""",,"=""""","=""L5951""",
Th,2,"=""376.33211""","=""0.00004""","=""376.332146""","=""0.000010""","=""180""","=""""",,"=""16818.06540""","=""43382.7887""","=""6d3""","=""2G""","=""7/2""","=""6d2.(3P).7p""","=""*""","=""5/2""",,"=""""","=""L5951""",
Gd,2,"=""376.333""","=""""","=""""","=""""","=""210""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,1,"=""""","=""""","=""376.3367""","=""""","=""""","=""3.9e+06""",E,"=""23818.87""","=""50383.27""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""3/2""",,"=""T1117""","=""""",
Ti,1,"=""376.33683""","=""0.00017""","=""376.33673""","=""0.00006""","=""7""","=""""",,"=""0.000""","=""26564.400""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,"=""""","=""L10989""",
Xe,2,"=""376.337""","=""""","=""376.3362+""","=""""","=""15""","=""""",,"=""95064.38""","=""121628.82""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L6925""",
W,1,"=""376.3420""","=""""","=""376.3423""","=""0.0010""","=""3""","=""""",,"=""28347.60""","=""54911.61""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
