element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ho,1,"=""370.004""","=""""","=""410""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""370.0041""","=""0.0005""","=""13""","=""""",,"=""18192.570""","=""45211.603""","=""3d3.(2H).4s""","=""a 3H""","=""6""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
Cr,1,"=""370.0088""","=""0.0010""","=""1""","=""""",,"=""35884.255""","=""62903.083""","=""3d5.(2H).4s""","=""b 3H""","=""5""","=""3d4.4s.4p""","=""r 3H*""","=""6""",,"=""""","=""L808""",
Tb,1,"=""370.012""","=""""","=""450""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
V,2,"=""370.01238""","=""0.00006""","=""2800""","=""1.25e+07""",B,"=""20089.6495""","=""47108.0794""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4P).4p""","=""z 3P*""","=""1""",,"=""T9616n""","=""L18516""",
Pt,2,"=""370.01460""","=""0.00018""","=""9w""","=""""",,"=""34647.266""","=""61665.5284""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d8.(3F).6p""","=""(4,3/2)*""","=""7/2""",,"=""""","=""L10146""",
V,2,"=""370.0151""","=""0.0003""","=""1500""","=""""",,"=""54717.923""","=""81736.142""","=""3d3.(2D2).4p""","=""x 3P*""","=""1""","=""3d3.(4P).5s""","=""3P""","=""1""",,"=""""","=""L18516""",
Fe,3,"=""370.0152""","=""0.0012""","=""62""","=""""",,"=""117950.17""","=""144968.41""","=""3d5.(b 2G).4s""","=""1G""","=""4""","=""3d5.(b 2F).4p""","=""3F*""","=""4""",,"=""""","=""L1171""",
W,1,"=""370.0178""","=""""","=""4w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Ne,2,"=""370.0220""","=""0.0010""","=""120""","=""""",,"=""281720.2755""","=""308738.0108""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L1406""",
Tm,2,"=""370.026""","=""""","=""4800""","=""2.23e+07""",,"=""236.95""","=""27254.42""","=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""4f12.5d.6s""","=""""","=""4""",,"=""T6708""","=""L3475""",
Th,2,"=""370.03117""","=""0.00003""","=""240""","=""""",,"=""20989.80656""","=""48006.8651""","=""5f.(2F*).6d2.(1D)""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",,"=""""","=""L5951""",
V,2,"=""370.03388""","=""0.00005""","=""12000""","=""1.66e+07""",B,"=""20280.2493""","=""47297.1150""","=""3d3.(2H).4s""","=""b 3H""","=""5""","=""3d3.(2G).4p""","=""z 3H*""","=""5""",,"=""T9770""","=""L18516""",
Cr,1,"=""370.0395""","=""0.0010""","=""2""","=""""",,"=""23933.8561""","=""50950.3326""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""3""",,"=""""","=""L808""",
Th,2,"=""370.04603""","=""0.00005""","=""54""","=""""",,"=""19248.27026""","=""46264.2423""","=""5f.6d.(3D*).7s""","=""*""","=""5/2""","=""5f.6d.7p""","=""""","=""3/2""",,"=""""","=""L5951""",
Gd,3,"=""370.047""","=""""","=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7376""",
Mn,2,"=""370.0515""","=""0.0006""","=""30""","=""""",,"=""55697.014""","=""82712.57""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d5.(4F).4p""","=""x 5D*""","=""3""",,"=""""","=""L562""",
Th,2,"=""370.05261""","=""0.00019""","=""26""","=""""",,"=""22106.43260""","=""49121.9347""","=""6d3""","=""2F""","=""5/2""","=""6d2.(1D).7p""","=""*""","=""7/2""",,"=""""","=""L2372""",
Cu,1,"=""370.0536""","=""0.0021""","=""250h""","=""""",,"=""44963.26""","=""71978.69""","=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""","=""3d9.4s.(3D).4d""","=""4G""","=""9/2""",,"=""""","=""L772""",
U,2,"=""370.057""","=""""","=""540""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Yb,1,"=""370.058""","=""""","=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
V,1,"=""370.063""","=""0.003""","=""350*""","=""""",,"=""11100.596""","=""38115.684&dagger;""","=""3d3.4s2""","=""a 2G""","=""9/2""","=""3d4.(3P2).4p""","=""t 4D*""","=""7/2""",,"=""""","=""L14162""",
V,1,"=""370.063""","=""0.003""","=""350*""","=""""",,"=""15572.035""","=""42587.041""","=""3d4.(3P2).4s""","=""b 4P""","=""5/2""","=""3d4.(5D).5p""","=""6D*""","=""7/2""",,"=""""","=""L14162""",
W,1,"=""370.0642""","=""""","=""8""","=""""",,"=""20427.84""","=""47442.53""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Kr,8,"=""370.07""","=""""","=""""","=""""",,"=""813550.""","=""840561.""","=""3d10.7p""","=""2P*""","=""3/2""","=""3d10.7d""","=""2D""","=""3/2""",,"=""""","=""L11307""",
Er,2,"=""370.072""","=""""","=""540""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""370.07652""","=""0.00003""","=""380""","=""""",,"=""15305.26434""","=""42319.0163""","=""6d3""","=""2H""","=""9/2""","=""6d2.(3F).7p""","=""*""","=""9/2""",,"=""""","=""L5951""",
Sc,2,"=""370.0789""","=""""","=""1""","=""""",,"=""12101.50""","=""39115.04""","=""3p6.3d2""","=""3P""","=""1""","=""3p6.4s.4p""","=""3P*""","=""1""",,"=""""","=""L5141""",
Rh,1,"=""370.091""","=""""","=""7600""","=""3.9e+07""",B,"=""1529.97""","=""28542.69""","=""4d8.(3F).5s""","=""a 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4G*""","=""9/2""",,"=""T5181""","=""L3475""",
Ti,1,"=""370.0928""","=""0.0005""","=""3""","=""""",,"=""11531.761""","=""38544.316""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d3.(2G).4p""","=""t 3F*""","=""3""",,"=""""","=""L10989""",
W,1,"=""370.0929""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
V,2,"=""370.09662""","=""0.00010""","=""1500""","=""4.5e+06""",C+,"=""20089.6495""","=""47101.9320""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4P).4p""","=""y 5D*""","=""2""",,"=""T9616""","=""L18516""",
Th,1,"=""370.097809""","=""0.000011""","=""3500""","=""""",,"=""2869.259165""","=""29881.45655""","=""6d2.7s2""","=""3F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Na,2,"=""370.100""","=""0.010""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Cu,1,"=""370.1070""","=""0.0021""","=""5h""","=""""",,"=""44915.68""","=""71927.28""","=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""","=""3d9.4s.(3D).4d""","=""4P""","=""3/2""",,"=""""","=""L772""",
Fe,1,"=""370.10860""","=""0.00004""","=""31600""","=""6.35e+07""",B+,"=""24180.862""","=""51192.273""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""4""",,"=""T5720""","=""L11631""",
Th,1,"=""370.10990""","=""0.00014""","=""540""","=""""",,"=""11802.93238""","=""38814.2460""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Hf,2,"=""370.115""","=""""","=""340""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ne,1,"=""370.12247""","=""0.00005""","=""400""","=""2.21e+05""",C,"=""135888.7173""","=""162899.1169""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",,"=""T6976""","=""L3451""",
Ac,1,"=""370.1300""","=""0.0004""","=""2100""","=""7.e+06""",E,"=""0.000""","=""27009.857""","=""6d.7s2""","=""2D""","=""3/2""","=""6d2.(3F).7p""","=""4G*""","=""5/2""",,"=""T10463""","=""L7344""",
Tm,2,"=""370.136""","=""""","=""3800""","=""1.57e+07""",,"=""0.00""","=""27009.39""","=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""4f12.5d.6s""","=""""","=""4""",,"=""T6708""","=""L3475""",
Mn,2,"=""370.1389""","=""0.0006""","=""80""","=""""",,"=""43537.186""","=""70546.34""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4G).4p""","=""z 3G*""","=""4""",,"=""""","=""L562""",
198Hg,1,"=""370.14324""","=""0.00006""","=""50""","=""""",,"=""54068.90351""","=""81077.754""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9d""","=""3D""","=""2""",,"=""""","=""L3483c88""",
Hg,1,"=""370.1442""","=""0.002""","=""50""","=""""",,"=""54068.6829""","=""81077.45""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9d""","=""3D""","=""2""",,"=""""","=""L7593""",
U,2,"=""370.152""","=""""","=""1100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""370.15270""","=""0.00016""","=""10""","=""""",,"=""16961.442""","=""43969.6460""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""3""",,"=""""","=""L10989""",
Na,2,"=""370.158""","=""0.010""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Th,1,"=""370.15940""","=""0.00014""","=""400""","=""""",,"=""13088.56115""","=""40096.2286""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Dy,2,"=""370.163""","=""""","=""540""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Zr,3,"=""370.1672""","=""""","=""500""","=""9.24e+07""",,"=""119796.39""","=""146803.55""","=""4d.6p""","=""3F*""","=""4""","=""4d.(2D<3/2>).5g""","=""2[9/2]""","=""5""",,"=""T6869""","=""L9267""",
Mn,1,"=""370.173""","=""""","=""70""","=""8.6e+05""",C,"=""17282.00""","=""44288.76""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""",,"=""T3623n""","=""L3475""",
Ne,2,"=""370.17769""","=""0.00003""","=""180""","=""2.7e+07""",D,"=""254164.9888""","=""281171.3566""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""4P""","=""5/2""",,"=""T380""","=""L5951""",
Sr,4,"=""370.1777""","=""0.002""","=""8""","=""""",,"=""358151.51""","=""385158.09""","=""4s2.4p4.(3P<1>).6p""","=""2[0]*""","=""1/2""","=""4s2.4p4.(3P<1>).6d""","=""2[1]""","=""3/2""",,"=""""","=""L4311""",
La,2,"=""370.181""","=""""","=""35""","=""""",,"=""28315.25""","=""55321.35""","=""5d.6p""","=""y 3D*""","=""3""","=""5d.6d""","=""f 3F""","=""4""",,"=""""","=""L3475""",
Ti,1,"=""370.1819""","=""0.0005""","=""0""","=""""",,"=""19937.855""","=""46943.911""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d2.4p2""","=""g 5G""","=""2""",,"=""""","=""L10989""",
Hf,1,"=""370.1830""","=""0.0010""","=""650""","=""""",,"=""18381.5234""","=""45387.560""","=""5d.6s2.(a 2D).6p""","=""z 3D*""","=""3""","=""6p2.(3P).5d.(4F).6s""","=""e 3F""","=""4""",,"=""""","=""L16323""",
Ar,2,"=""370.2005""","=""0.0006""","=""2""","=""""",,"=""163506.5368""","=""190511.2674""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""""","=""L14821""",
Fe,1,"=""370.20291""","=""0.00004""","=""5500""","=""3.7e+07""",D+,"=""22946.816""","=""49951.344""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d7.(2P).4p""","=""w 3P*""","=""0""",,"=""T2491n""","=""L11631""",
Mo,1,"=""370.203""","=""""","=""220*""","=""""",,"=""22875.942""","=""49880.46?""","=""4d4.5s2""","=""a 3P""","=""2""","=""""","=""31*""","=""2""",,"=""""","=""L3475""",
Mo,1,"=""370.2030""","=""""","=""220*""","=""6.2e+06""",B,"=""16692.905""","=""43697.423""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4H).5p""","=""y 5H*""","=""3""",,"=""T5293""","=""L10250,L3475""",
Th,2,"=""370.20671""","=""0.00005""","=""77""","=""""",,"=""17722.98541""","=""44727.2378""","=""5f.(2F*).6d2.(3F)""","=""*""","=""9/2""","=""5f.6d.(3F*).7p""","=""""","=""11/2""",,"=""""","=""L5951""",
Al,3,"=""370.2106""","=""""","=""10""","=""1.13e+08""",A+,"=""143633.38""","=""170637.35""","=""2p6.4p""","=""2P*""","=""1/2""","=""2p6.5s""","=""2S""","=""1/2""",,"=""c32""","=""L277""",
Th,1,"=""370.21393""","=""0.00004""","=""130""","=""""",,"=""13945.307389""","=""40949.0299""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Ti,1,"=""370.2145""","=""0.0005""","=""2""","=""""",,"=""18037.213""","=""45040.955""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(4F).5p""","=""3F*""","=""4""",,"=""""","=""L10989""",
Cr,1,"=""370.2158""","=""0.0010""","=""2""","=""""",,"=""24056.0404""","=""51059.7045""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""4""",,"=""""","=""L808""",
Mn,2,"=""370.2167""","=""0.0006""","=""40""","=""""",,"=""43339.452""","=""70342.936""","=""3d5.(2D).4s""","=""c 3D""","=""2""","=""3d5.(4D).4p""","=""y 5F*""","=""3""",,"=""""","=""L562""",
V,1,"=""370.223""","=""0.004""","=""29000h""","=""""",,"=""17136.538""","=""44139.591""","=""3d3.(4F).4s.4p.(3P*)""","=""z 6G*""","=""13/2""","=""3d3.4s.(5F).4d""","=""f 6G""","=""11/2""",,"=""""","=""L14162""",
Ti,1,"=""370.22899""","=""0.00016""","=""14""","=""""",,"=""8436.618""","=""35439.251""","=""3d2.4s2""","=""a 3P""","=""0""","=""3d2.(3P).4s.4p.(1P*)""","=""y 3S*""","=""1""",,"=""""","=""L10989""",
W,1,"=""370.2310""","=""""","=""50""","=""3.2e+06""",C,"=""14976.18""","=""41978.62""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
Ho,2,"=""370.235""","=""""","=""490c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hg,1,"=""370.236""","=""0.010""","=""1""","=""""",,"=""54068.6829""","=""81070.96""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.9d""","=""3D""","=""1""",,"=""""","=""L15160c86""",
Th,1,"=""370.24791""","=""0.00014""","=""270""","=""""",,"=""10783.15535""","=""37784.4105""","=""6d.7s2.7p""","=""3F*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Fe,1,"=""370.24917""","=""0.00004""","=""2950""","=""4.13e+05""",C+,"=""17550.181""","=""44551.335""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""3""",,"=""T5720""","=""L11631""",
V,2,"=""370.2525""","=""0.0018""","=""330D""","=""""",,"=""48853.0973""","=""75854.2212""","=""3d3.(2G).4p""","=""y 3G*""","=""5""","=""3d3.(4F).4d""","=""3G""","=""5""",,"=""""","=""L10089c179""",
Ti,1,"=""370.2595""","=""0.0005""","=""5""","=""""",,"=""16875.124""","=""43875.514""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""1""",,"=""""","=""L10989""",
Pm,2,"=""370.263""","=""""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u8""",
Cr,1,"=""370.2664""","=""0.0010""","=""2""","=""""",,"=""24286.5418""","=""51286.5356""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(4D).4p""","=""w 3P*""","=""2""",,"=""""","=""L808""",
Kr,3,"=""370.271""","=""""","=""2""","=""""",,"=""180247.09""","=""207247.01""","=""4s2.4p3.(2P*).5s""","=""3P*""","=""2""","=""4s2.4p3.(2P*).5p""","=""3D""","=""1""",,"=""""","=""L7284""",
Pa,1,"=""370.274""","=""""","=""3000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u2""",
Xe,1,"=""370.274""","=""0.001""","=""2""","=""""",,"=""67067.547""","=""94066.95""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[1/2]""","=""1""",,"=""""","=""L4739""",
O,3,"=""370.275""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3467""",
Mn,2,"=""370.2790""","=""0.0006""","=""40""","=""""",,"=""43528.661""","=""70527.61""","=""3d5.(4F).4s""","=""a 5F""","=""5""","=""3d5.(4G).4p""","=""z 3G*""","=""5""",,"=""""","=""L562""",
W,1,"=""370.2832""","=""""","=""3""","=""""",,"=""28347.60""","=""55346.20""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
Cr,2,"=""370.2846""","=""0.0003""","=""12""","=""""",,"=""90489.831""","=""117488.413""","=""3d4.(b 3F).4p""","=""v 4F*""","=""7/2""","=""3d4.(5D).6d""","=""4F""","=""9/2""",,"=""""","=""L18847""",
Tb,2,"=""370.286""","=""""","=""4700""","=""6.19e+07""",,"=""1016.380""","=""28014.875""","=""4f9.(6H*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f9.(6H*<15/2>).6p<3/2>""","=""(15/2,3/2)""","=""8""",,"=""T7227""","=""L3475""",
Th,2,"=""370.28637""","=""0.00003""","=""230""","=""""",,"=""19912.3404""","=""46910.7816""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""13/2""","=""5f.6d.(3H*).7p""","=""""","=""13/2""",,"=""""","=""L5951""",
Kr,8,"=""370.29""","=""""","=""""","=""""",,"=""840751.""","=""867745.""","=""3d10.7d""","=""2D""","=""5/2""","=""3d10.8p""","=""2P*""","=""3/2""",,"=""""","=""L11307""",
Cu,3,"=""370.292""","=""""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2987""",
Hf,1,"=""370.2930""","=""0.0010""","=""43""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Ti,1,"=""370.29830""","=""0.00016""","=""12""","=""""",,"=""12118.393""","=""39115.957""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d3.(2H).4p""","=""x 3H*""","=""4""",,"=""""","=""L10989""",
Mn,2,"=""370.299""","=""0.0015""","=""5""","=""""",,"=""86897.831""","=""113895.35""","=""3d4.(5D).4s.4p.(3P*)""","=""w 5P*""","=""3""","=""3d5.(6S).8s""","=""5S""","=""2""",,"=""""","=""L562""",
Sr,1,"=""370.3078""","=""0.0005""","=""100""","=""""",,"=""18159.040""","=""45155.92""","=""5s.4d""","=""3D""","=""1""","=""5s.12f""","=""3F*""","=""2""",,"=""""","=""L4447""",
Tb,1,"=""370.312""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""370.3154""","=""0.0005""","=""86""","=""""",,"=""22450.5521""","=""49446.869""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""2""","=""""","=""4945""","=""1""",,"=""""","=""L16323""",
W,1,"=""370.3202""","=""""","=""6""","=""""",,"=""24610.88""","=""51606.78""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Al,2,"=""370.3219""","=""""","=""30""","=""3.23e+07""",B+,"=""106920.56""","=""133916.368""","=""3s.4p""","=""1P*""","=""1""","=""3s.5d""","=""1D""","=""2""",,"=""T6533""","=""L4575""",
Th,1,"=""370.322978""","=""0.000014""","=""2400""","=""""",,"=""0.000000""","=""26995.77389""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Re,1,"=""370.324""","=""""","=""520""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Os,1,"=""370.325""","=""""","=""190""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Bk,1,"=""370.328""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4703""",
Mn,2,"=""370.3288""","=""0.0006""","=""15i""","=""""",,"=""86936.981""","=""113932.26""","=""3d4.(5D).4s.4p.(3P*)""","=""w 5P*""","=""2""","=""3d5.(6S).6g""","=""5G""","=""3""",,"=""""","=""L562""",
W,1,"=""370.3323""","=""""","=""10""","=""""",,"=""27662.52""","=""54657.56""","=""5d4.6s.(6D).6p""","=""5F*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L153""",
Th,1,"=""370.33419""","=""0.00005""","=""55""","=""""",,"=""10526.544406""","=""37521.5066""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
O,3,"=""370.337""","=""""","=""80""","=""1.14e+08""",C+,"=""338863.03""","=""365857.89""","=""2s.2p2.(4P).3s""","=""5P""","=""3""","=""2s.2p2.(4P).3p""","=""5D*""","=""4""",,"=""T5376LS""","=""L3467""",
W,1,"=""370.3380""","=""""","=""12""","=""""",,"=""29773.34""","=""56768.06""","=""5d4.6s.(6D).6p""","=""7D*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L153""",
Fe,1,"=""370.35476""","=""0.00004""","=""7800""","=""3.84e+06""",B,"=""22249.429""","=""49242.886""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d7.(2G).4p""","=""w 3F*""","=""3""",,"=""T5720""","=""L11631""",
Ar,2,"=""370.3550""","=""0.0006""","=""1""","=""""",,"=""186816.0496""","=""213809.49""","=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<2>).7f""","=""2[5]*""","=""9/2""",,"=""""","=""L14821""",
V,1,"=""370.35676""","=""0.00012""","=""21000000""","=""1.12e+08""",B+,"=""2424.809""","=""29418.119""","=""3d4.(5D).4s""","=""a 6D""","=""9/2""","=""3d3.(4P).4s.4p.(3P*)""","=""y 6P*""","=""7/2""",,"=""T9399""","=""L15916""",
Fe,1,"=""370.35840""","=""0.00004""","=""3240""","=""""",,"=""22249.429""","=""49242.621""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 3D*""","=""2""",,"=""""","=""L11631""",
W,1,"=""370.3597""","=""""","=""50""","=""""",,"=""13777.71""","=""40770.78""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Fe,1,"=""370.36906""","=""0.00004""","=""5200""","=""6.31e+06""",C+,"=""23711.456""","=""50703.870""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""",,"=""T5720""","=""L11631""",
Th,1,"=""370.377418""","=""0.000014""","=""2300""","=""""",,"=""4961.658832""","=""31953.46618""","=""6d2.7s2""","=""3F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Hf,1,"=""370.3816""","=""0.0004""","=""430""","=""""",,"=""19791.3040""","=""46782.803""","=""5d.6s2.(a 2D).6p""","=""z 3P*""","=""2""","=""6p2.(3P).5d.(2P).6s""","=""b 1P""","=""1""",,"=""""","=""L16323""",
Fe,1,"=""370.38210""","=""0.00004""","=""5600""","=""1.02e+07""",B,"=""23051.750""","=""50043.213""","=""3d7.(4P).4s""","=""b 3P""","=""0""","=""3d7.(2P).4p""","=""w 3P*""","=""1""",,"=""T5720""","=""L11631""",
V,2,"=""370.3823""","=""0.0007""","=""1100""","=""5.4e+05""",C+,"=""12621.4857""","=""39612.9643""","=""3d4""","=""a 3H""","=""5""","=""3d3.(4F).4p""","=""z 3G*""","=""5""",,"=""T9616""","=""L10089c179""",
Tc,1,"=""370.3830""","=""""","=""800""","=""""",,"=""17146.80""","=""44138.17""","=""4d6.(3H).5s""","=""4H""","=""11/2""","=""4d6.(3H).5p""","=""2I*""","=""11/2""",,"=""""","=""L149""",
H,1,"=""370.3859""","=""0.0006""","=""2800""","=""6.6583e+03""",AAA,"=""82259.158""","=""[109250.3433]""","=""2""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""L7436c29""",
Th,2,"=""370.39059""","=""0.00003""","=""320""","=""""",,"=""10855.32366""","=""37846.1686""","=""6d3""","=""""","=""7/2""","=""6d2.(3P).7p""","=""*""","=""5/2""",,"=""""","=""L5951""",
Tb,2,"=""370.392""","=""""","=""2400""","=""""",,"=""3235.190""","=""30225.865""","=""4f8.(7F).5d (8G).6s""","=""9G""","=""7""","=""4f8.5d.6p?""","=""*""","=""7""",,"=""""","=""L3475""",
Mg,3,"=""370.3930""","=""""","=""4""","=""""",,"=""562136.1""","=""589126.8""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""""","=""L1434""",
Cu,2,"=""370.39305""","=""0.00011""","=""680""","=""""",,"=""121524.8509""","=""148515.532""","=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""","=""3d9.(2D<3/2>).6d""","=""2[7/2]""","=""4""",,"=""""","=""L869c171""",
Th,1,"=""370.39510""","=""0.00014""","=""210""","=""""",,"=""10414.13700""","=""37404.6616""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Mn,2,"=""370.3957""","=""0.0006""","=""30""","=""""",,"=""43537.186""","=""70527.61""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4G).4p""","=""z 3G*""","=""5""",,"=""""","=""L562""",
Th,2,"=""370.399171""","=""0.000023""","=""530""","=""""",,"=""10572.04139""","=""37562.2626""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f2.(3H).6d""","=""4I""","=""11/2""",,"=""""","=""L5951""",
