element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Se,3,"=""371.17""","=""""","=""360""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3478""",
Pm,2,"=""371.172""","=""""","=""800""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u8""",
V,2,"=""371.1740""","=""0.0007""","=""810""","=""""",,"=""20363.3370""","=""47297.1150""","=""3d3.(2H).4s""","=""b 3H""","=""6""","=""3d3.(2G).4p""","=""z 3H*""","=""5""",,"=""""","=""L10089c179""",
Tb,2,"=""371.176""","=""""","=""1000bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,2,"=""371.17801""","=""0.00019""","=""77""","=""""",,"=""13250.50912""","=""40184.1084""","=""6d2.(1D).7s""","=""""","=""5/2""","=""6d2.(3F).7p""","=""*""","=""7/2""",,"=""""","=""L2372""",
Nb,4,"=""371.1786""","=""0.0005""","=""800000""","=""1.43e+08""",C+,"=""166289.90""","=""193223.45""","=""4d.5d""","=""3G""","=""3""","=""4d.6p""","=""3F*""","=""2""",,"=""T2192""","=""L12094""",
Ac,2,"=""371.1820""","=""0.0013""","=""1100h""","=""9.4e+06""",D+,"=""33304.935""","=""60238.20""","=""6d.7p""","=""3D*""","=""2""","=""6d.7d""","=""3F""","=""2""",,"=""T10463""","=""L7344""",
Hf,1,"=""371.1830""","=""0.0010""","=""42""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Th,1,"=""371.18331""","=""0.00003""","=""440""","=""""",,"=""8800.249723""","=""35733.4538""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Yb,3,"=""371.191""","=""""","=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4835""",
Xe,3,"=""371.191""","=""0.005""","=""10""","=""""",,"=""159388.18""","=""186320.88""","=""5s2.5p3.(2P*).6s""","=""1P*""","=""1""","=""5s2.5p3.(2P*).6p""","=""3P""","=""2""",,"=""""","=""L10579""",
Th,1,"=""371.19264""","=""0.00004""","=""200""","=""""",,"=""6362.395980""","=""33294.9255""","=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Fe,2,"=""371.1974""","=""0.0015""","=""90""","=""1.5e+05""",E,"=""47674.728""","=""74606.864""","=""3d7""","=""d 2D1""","=""3/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""T6892c83""","=""L7357""",
V,2,"=""371.1975""","=""0.0009""","=""130""","=""""",,"=""49210.8445""","=""76143.0526""","=""3d3.(2G).4p""","=""y 3F*""","=""3""","=""3d3.(4F).4d""","=""3F""","=""4""",,"=""""","=""L10089c179""",
H,1,"=""371.1978""","=""0.0006""","=""3300""","=""9.2102e+03""",AAA,"=""82259.158""","=""[109191.3154]""","=""2""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""L7436c29""",
Cu,1,"=""371.2009""","=""0.0021""","=""30h""","=""""",,"=""46172.89""","=""73104.90""","=""3d9.(2D).4s.4p.(3P*)""","=""*""","=""3/2""","=""3d9.4s.(3D).4d""","=""4D""","=""3/2""",,"=""""","=""L772""",
