element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
V,1,"=""578.2839""","=""0.0003""","=""578.28388""","=""0.00008""","=""53000""","=""""",,"=""17242.070""","=""34529.821""","=""3d4.(3G).4s""","=""a 4G""","=""11/2""","=""3d3.(2D2).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""""","=""L15916""",
Cr,1,"=""578.30642""","=""0.00007""","=""578.30643""","=""0.00004""","=""77""","=""2.1e+07""",D,"=""26801.9009""","=""44088.9776""","=""3d5.(6S).4p""","=""z 5P*""","=""1""","=""3d5.(6S).4d""","=""e 5D""","=""1""",,"=""T4288""","=""L14866""",
Cr,1,"=""578.3109""","=""0.0004""","=""578.31115""","=""0.00006""","=""3""","=""""",,"=""28679.4239""","=""45966.3597""","=""3d5.(4D).4s""","=""a 3D""","=""1""","=""3d5.(4G).4p""","=""y 3F*""","=""2""",,"=""""","=""L14866""",
V,2,"=""578.3117""","=""0.0012""","=""578.3109""","=""0.0004""","=""1000""","=""""",,"=""73146.3451""","=""90433.288""","=""3d3.(4F).4d""","=""5F""","=""3""","=""3d3.(4F<5/2>).4f""","=""2[7/2]*""","=""4""",,"=""""","=""L10089c179""",
Th,2,"=""578.32081""","=""0.00020""","=""578.320411""","=""0.000020""","=""58""","=""""",,"=""20288.5750""","=""37575.2339""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""","=""5f2.(1I).7s""","=""2I""","=""13/2""",,"=""""","=""L12239""",
Cs,2,"=""578.3222""","=""0.0009""","=""578.32112""","=""0.00004""","=""19""","=""""",,"=""153687.1457""","=""170973.7833""","=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L12126""",
Mo,1,"=""578.333""","=""""","=""578.3368+""","=""""","=""23h""","=""""",,"=""25455.636""","=""42741.804""","=""4d6""","=""c 5D""","=""4""","=""4d5.(4D).5p""","=""w 5D*""","=""4""",,"=""""","=""L3475""",
V,1,"=""578.3490""","=""0.0004""","=""578.34891""","=""0.00004""","=""43000""","=""""",,"=""21841.421""","=""39127.228""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4G*""","=""5/2""","=""3d3.4s.(5F).5s""","=""f 4F""","=""3/2""",,"=""""","=""L15916""",
Ar,1,"=""""","=""""","=""578.35365""","=""""","=""""","=""8.1e+04""",D,"=""106087.2598""","=""123372.9253""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
Fe,2,"=""578.36230""","=""0.00003""","=""578.36226""","=""0.00003""","=""1200""","=""4.6e+07""",B+,"=""86416.370""","=""103701.778""","=""3d6.(5D).4d""","=""e 4F""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
