element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sr,1,"=""436.1710""","=""0.00015""","=""436.17110""","=""0.00011""","=""800""","=""9.7e+06""",B+,"=""14504.334""","=""37424.675""","=""5s.5p""","=""3P*""","=""1""","=""5s.7s""","=""3S""","=""1""",,"=""T5178""","=""L7362""",
Th,2,"=""436.17944""","=""0.00004""","=""436.179440""","=""0.000012""","=""48""","=""""",,"=""14545.55724""","=""37465.4599""","=""5f.6d.(3D*).7s""","=""4D*""","=""5/2""","=""5f.6d.(3F*).7p""","=""""","=""5/2""",,"=""""","=""L5951""",
W,1,"=""436.1814""","=""""","=""436.1816""","=""0.0015""","=""25""","=""1.64e+05""",B,"=""6219.33""","=""29139.12""","=""5d4.6s2""","=""5D""","=""4""","=""5d4.6s.(6D).6p""","=""5F*""","=""3""",,"=""T4976""","=""L153""",
S,4,"=""""","=""""","=""436.20+""","=""""","=""""","=""1.39e-02""",C,"=""71184.1""","=""94103.1""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p2""","=""2D""","=""3/2""",M1,"=""u29""","=""""",
S,4,"=""""","=""""","=""436.20+""","=""""","=""""","=""7.10e-02""",B,"=""71184.1""","=""94103.1""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p2""","=""2D""","=""3/2""",E2,"=""u29""","=""""",
Mn,5,"=""""","=""""","=""436.200""","=""""","=""""","=""1.1e-01""",E,"=""0.0""","=""22918.8""","=""3d3""","=""4F""","=""3/2""","=""3d3""","=""2P""","=""3/2""",M1,"=""T233""","=""""",
Sm,2,"=""436.204""","=""""","=""""","=""""","=""810""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
U,1,"=""436.205""","=""""","=""""","=""""","=""430""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Kr,3,"=""436.206""","=""""","=""436.214+""","=""""","=""0.5""","=""""",,"=""212263.74""","=""235181.83""","=""4s2.4p3.(2P*).5p""","=""1P""","=""1""","=""4s2.4p3.(2D*).6s""","=""1D*""","=""2""",,"=""""","=""L7284""",
Ar,2,"=""436.20660""","=""0.00001""","=""436.206601""","=""0.000006""","=""78""","=""5.5e+06""",B,"=""150474.9903""","=""173393.4658""","=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Cr,1,"=""436.208""","=""0.003""","=""436.2054""","=""0.0006""","=""3""","=""""",,"=""31008.9708""","=""53927.51""","=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""3d3.(4F).4s2.4p""","=""v 3G*""","=""4""",,"=""""","=""L808""",
Hf,1,"=""436.2120""","=""0.0011""","=""436.21258""","=""0.00021""","=""790""","=""""",,"=""25634.2234""","=""48552.385""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""2""","=""""","=""4855""","=""2""",,"=""""","=""L16323""",
W,1,"=""436.2228""","=""""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Ti,3,"=""436.234""","=""""","=""436.234+""","=""""","=""1""","=""""",,"=""147749.89""","=""170666.94""","=""3p6.3d.5p""","=""3D*""","=""2""","=""3p6.3d.5d""","=""3P""","=""2""",,"=""""","=""L3593""",
Th,2,"=""436.23621""","=""0.00006""","=""436.236215""","=""0.000015""","=""19""","=""""",,"=""20310.94225""","=""43227.8620""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",,"=""""","=""L5951""",
Th,1,"=""436.247207""","=""0.000023""","=""436.247202""","=""0.000004""","=""270""","=""""",,"=""8800.249723""","=""31716.59227""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
S,2,"=""436.2564""","=""0.0007""","=""436.2548""","=""0.0006""","=""210""","=""""",,"=""133360.858""","=""156276.804""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""3s2.3p2.(1S).4p""","=""2P*""","=""3/2""",,"=""""","=""L5883""",
Kr,1,"=""436.264157""","=""""","=""436.26416+""","=""""","=""500""","=""4.28e+05""",B,"=""79971.7417""","=""102887.1936""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""T3378n,T7199""","=""L11281""",
W,1,"=""436.2670""","=""""","=""436.2684""","=""0.0015""","=""3""","=""""",,"=""19535.01""","=""42450.24""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
Ne,1,"=""436.2690""","=""0.0020""","=""436.2693""","=""0.0011""","=""300""","=""""",,"=""149657.0392""","=""172572.22""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
Th,1,"=""436.27217""","=""0.00004""","=""436.272163""","=""0.000012""","=""49""","=""""",,"=""13847.77037""","=""36762.8018""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Sr,4,"=""436.2787""","=""0.002""","=""436.2771""","=""0.0013""","=""36""","=""""",,"=""327296.31""","=""350211.08""","=""4s2.4p4.(3P<2>).5d""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L4311""",
Hf,1,"=""436.2850""","=""0.0011""","=""436.28594""","=""0.00017""","=""120""","=""""",,"=""22450.5521""","=""45364.860""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""2""","=""6p2.(3P).5d.(4P).6s""","=""b 5P""","=""3""",,"=""""","=""L16323""",
Sm,1,"=""436.291""","=""""","=""436.2905+""","=""""","=""440""","=""4.9e+07""",,"=""0.00""","=""22914.07""","=""4f6.6s2""","=""7F""","=""0""","=""4f6.(7F).6s.6p.(1P*)""","=""7G*""","=""1""",,"=""T7227""","=""L3475""",
Cr,1,"=""436.29521""","=""0.00014""","=""436.29525""","=""0.00004""","=""6""","=""3.2e+06""",D,"=""23163.2205""","=""46077.0395""","=""3d4.4s2""","=""a 3P""","=""0""","=""3d5.(4P).4p""","=""y 3D*""","=""1""",,"=""T3963""","=""L14866""",
K,2,"=""436.296""","=""0.003""","=""436.296""","=""0.003""","=""3""","=""5.88e+07""",,"=""189657.4""","=""212571.2""","=""3p5.4p""","=""3P""","=""2""","=""3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T8304""","=""L3490""",
Cr,1,"=""436.31290""","=""0.00004""","=""436.312902""","=""0.000021""","=""120""","=""1.6e+07""",D,"=""23933.8561""","=""46846.7480""","=""3d4.4s2""","=""a 3H""","=""4""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""",,"=""T3963""","=""L14866""",
O,3,"=""""","=""""","=""436.3209""","=""""","=""""","=""1.71e+00""",B,"=""20273.27""","=""43185.74""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p2""","=""1S""","=""0""",E2,"=""T4010,T4899,T4026""","=""""",
Ne,1,"=""436.3228""","=""0.0020""","=""436.3230""","=""0.0008""","=""20""","=""""",,"=""149657.0392""","=""172569.40""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
