element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ru,1,"=""698.201""","=""""","=""26""","=""""",,"=""27506.59""","=""41825.23""","=""4d7.(a 4F).5p""","=""z 5D*""","=""3""","=""4d7.(a 4F).6s""","=""e 3F""","=""4""",,"=""""","=""L3475""",
Xe,1,"=""698.205""","=""0.001""","=""30""","=""""",,"=""78403.061""","=""92721.530""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L4739""",
Ti,2,"=""698.23075""","=""0.00010""","=""41""","=""""",,"=""67606.1621""","=""81924.127""","=""3d2.(3F).4d""","=""e 2G""","=""7/2""","=""3d2.(3F).4f""","=""2H*""","=""9/2""",,"=""""","=""u37""",
Dy,1,"=""698.244""","=""""","=""13w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""698.2608""","=""0.0005""","=""230""","=""""",,"=""23015.15141""","=""37332.4981""","=""""","=""*""","=""5""","=""5f.6d2.7p ""","=""5K ""","=""6""",,"=""""","=""L3552""",
Be,1,"=""698.2749""","=""0.002""","=""13""","=""""",,"=""42565.4502""","=""56882.5474""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p2""","=""1D""","=""2""",,"=""""","=""L4743""",
Hf,1,"=""698.2750""","=""0.0015""","=""5""","=""""",,"=""30146.412""","=""44463.504""","=""5d3.(b 4P).6s""","=""b 3P""","=""2""","=""5d3.(b 4P).6p""","=""t 3D*""","=""3""",,"=""""","=""L16323""",
Th,1,"=""698.2752""","=""0.0005""","=""13""","=""""",,"=""20054.77119""","=""34371.8246""","=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Ti,1,"=""698.3119""","=""0.0006""","=""16""","=""""",,"=""17369.529""","=""31685.825""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""y 3P*""","=""0""",,"=""""","=""L10989""",
Cs,1,"=""698.34912""","=""0.00005""","=""""","=""""",,"=""11732.3071041""","=""26047.8342""","=""5p6.6p""","=""2P*""","=""3/2""","=""5p6.7d""","=""2D""","=""3/2""",,"=""""","=""L3506""",
Ta,1,"=""698.352""","=""""","=""23""","=""""",,"=""22761.21""","=""37076.71""","=""5d4.(3G).6s""","=""a 4G""","=""7/2""","=""5d3.6s.(3H).6p""","=""z 4H*?""","=""9/2""",,"=""""","=""L3475""",
Ce,2,"=""698.382""","=""""","=""10""","=""8.8e+05""",C+,"=""13117.922""","=""27432.782""","=""4f2.(3F).5d""","=""4H""","=""9/2""","=""4f2.(3H<4>).6p<3/2>""","=""(4,3/2)*""","=""9/2""",,"=""T8629""","=""L3475""",
Th,1,"=""698.3965""","=""0.0005""","=""22""","=""""",,"=""22338.99484""","=""36653.5692""","=""5f.6d2.7s""","=""5G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L3552""",
W,1,"=""698.427""","=""""","=""40""","=""4.4e+04""",D,"=""13348.56""","=""27662.52""","=""5d4.6s2""","=""3G""","=""3""","=""5d4.6s.(6D).6p""","=""5F*""","=""2""",,"=""T4976""","=""L153""",
Th,1,"=""698.4585""","=""0.0005""","=""18""","=""""",,"=""8800.249723""","=""23113.54761""","=""6d3.(4F).7s""","=""5F""","=""4""","=""5f.6d2.7s""","=""5G*""","=""4""",,"=""""","=""L3552""",
Th,1,"=""698.4759""","=""0.0005""","=""22""","=""""",,"=""17224.302340""","=""31537.24226""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Os,1,"=""698.495""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""698.4952""","=""0.0005""","=""13""","=""""",,"=""19532.41646""","=""33844.9580""","=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L3552""",
I,1,"=""698.5129""","=""0.0020""","=""1700""","=""""",,"=""67061.9638""","=""81374.18""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""3/2""","=""5s2.5p4.(3P<2>).10s""","=""2[2]""","=""3/2""",,"=""""","=""L13998""",
Yb,3,"=""698.515""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4835""",
Th,2,"=""698.54719""","=""0.00008""","=""160""","=""""",,"=""9061.10354""","=""23372.58173""","=""6d2.(3P).7s""","=""4P""","=""5/2""","=""6d.7s.(3D).7p""","=""*""","=""3/2""",,"=""""","=""L5951""",
Sc,1,"=""698.555""","=""0.002""","=""8""","=""""",,"=""33278.370""","=""47589.719""","=""3d2.(3F).4p""","=""2F*""","=""7/2""","=""""","=""2G""","=""9/2""",,"=""""","=""L4189c12""",
Ar,2,"=""698.5708""","=""0.0008""","=""1""","=""""",,"=""190106.3000""","=""204417.2985""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2D""","=""3/2""",,"=""""","=""L14821""",
Th,1,"=""698.5783""","=""0.0005""","=""45""","=""""",,"=""21575.03713""","=""35885.8813""","=""6d3.(2P).7s""","=""""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
W,1,"=""698.580""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Gd,2,"=""698.589""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ce,1,"=""698.602""","=""""","=""30""","=""""",,"=""228.849""","=""14539.212""","=""4f.5d.6s2""","=""3F*""","=""2""","=""4f.5d.(3F*).6s.6p.(3P*)""","=""""","=""3""",,"=""""","=""L3475""",
Th,1,"=""698.60298""","=""0.00007""","=""220""","=""""",,"=""11802.93238""","=""26113.26894""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Nb,1,"=""698.609""","=""""","=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""698.6159""","=""0.0005""","=""9""","=""""",,"=""22508.04658""","=""36818.1174""","=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
I,1,"=""698.6507""","=""0.0020""","=""20000""","=""3.3e+06""",E,"=""67726.2533""","=""82035.649""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(3P<2>).7f""","=""2[5]*""","=""11/2""",,"=""u46""","=""L13998""",
Cu,2,"=""698.6548""","=""0.0008""","=""2100""","=""""",,"=""123304.823""","=""137614.140""","=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""","=""3d9.(2D<5/2>).5d""","=""2[1/2]""","=""0""",,"=""""","=""L869c171""",
Th,1,"=""698.6565""","=""0.0005""","=""13""","=""""",,"=""21738.05013""","=""36047.3034""","=""5f.6d2.7s""","=""5G*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
V,2,"=""698.7152""","=""0.0012""","=""95""","=""""",,"=""37937.703""","=""52245.733""","=""3d2.4s2""","=""e 3F""","=""2""","=""3d3.(2D2).4p""","=""x 3F*""","=""2""",,"=""""","=""L10089c179""",
Fe,2,"=""698.73978""","=""0.00013""","=""600""","=""2.69e+07""",B+,"=""90397.873""","=""104705.411""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).5d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""698.7444""","=""0.0005""","=""13""","=""""",,"=""20566.62381""","=""34874.0693""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Th,1,"=""698.7790""","=""0.0005""","=""90""","=""""",,"=""20566.62381""","=""34873.3535""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Cr,1,"=""698.866""","=""0.005""","=""2""","=""""",,"=""31049.2155""","=""45354.1500""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",,"=""""","=""L808""",
Ti,4,"=""698.874""","=""""","=""4""","=""""",,"=""274881.21""","=""289185.99""","=""3p6.6p""","=""2P*""","=""3/2""","=""3p6.6d""","=""2D""","=""3/2""",,"=""""","=""L2753""",
Gd,2,"=""698.875""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""698.8871""","=""0.0005""","=""90""","=""""",,"=""16346.64962""","=""30651.16019""","=""5f.6d2.7s""","=""5H*""","=""4""","=""6d4""","=""""","=""3""",,"=""""","=""L3552""",
Mo,1,"=""698.8955""","=""""","=""26""","=""6.2e+05""",B+,"=""20130.313""","=""34434.660""","=""4d5.(4D).5s""","=""b 5D""","=""1""","=""4d4.5s.(6D).5p""","=""z 5F*""","=""2""",,"=""T5293""","=""L10250,L3475""",
W,1,"=""698.927""","=""""","=""15""","=""""",,"=""18082.83""","=""32386.56""","=""5d4.6s2""","=""3D""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
Th,1,"=""698.965520""","=""0.000004""","=""31000""","=""""",,"=""7795.275291""","=""22098.18793""","=""5f.6d.7s2""","=""3H*""","=""4""","=""5f.6d.7s.7p""","=""5I""","=""4""",,"=""""","=""L18702""",
I,1,"=""698.97743""","=""0.00025""","=""7800""","=""""",,"=""65644.3110""","=""79946.9763""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""5/2""","=""5s2.5p4.(3P<2>).9s""","=""2[2]""","=""3/2""",,"=""""","=""L20632,L13998""",
Pt,1,"=""698.981""","=""0.003""","=""680h""","=""""",,"=""50010.1497""","=""64312.770""","=""5d8.6s.(2F).6p""","=""a 3F*""","=""4""","=""5d8.(3F<4>).6s.6d.(3D<?>)""","=""a (4,?)""","=""4""",,"=""""","=""L17515c164""",
Mn,1,"=""698.996""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ar,2,"=""699.0122""","=""0.0008""","=""5""","=""2.e+05""",C+,"=""143371.4364""","=""157673.4134""","=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""",,"=""T926""","=""L14821""",
Ti,1,"=""699.0226""","=""0.0006""","=""28""","=""""",,"=""17423.856""","=""31725.605""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""y 3P*""","=""1""",,"=""""","=""L10989""",
Nb,1,"=""699.032""","=""""","=""85""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Se,1,"=""699.0690""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1791""",
Cr,1,"=""699.073""","=""0.005""","=""3""","=""""",,"=""31047.9572""","=""45348.6792""","=""3d5.(2I).4s""","=""a 3I""","=""7""","=""3d5.(4G).4p""","=""z 3H*""","=""6""",,"=""""","=""L808""",
Zr,1,"=""699.084""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Xe,2,"=""699.088""","=""""","=""2000""","=""2.7e+07""",,"=""99404.99""","=""113705.40""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""",,"=""T8043""","=""L6925""",
Bi,1,"=""699.0924""","=""0.0010""","=""10""","=""""",,"=""41124.985""","=""55425.301""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).9d""","=""2[2]""","=""3/2""",,"=""""","=""L6416,L7394""",
Ti,1,"=""699.1230""","=""0.0006""","=""2""","=""""",,"=""25227.222""","=""39526.912""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d3.(4F).5s""","=""f 3F""","=""2""",,"=""""","=""L10989""",
Dy,1,"=""699.130""","=""""","=""13""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""699.150""","=""""","=""12""","=""""",,"=""28233.44""","=""42532.62""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
Xe,1,"=""699.165""","=""0.001""","=""1""","=""""",,"=""79986.618""","=""94285.50""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).9p""","=""2[1/2]""","=""0""",,"=""""","=""L4739""",
Se,1,"=""699.1792""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1791""",
W,1,"=""699.184""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
I,1,"=""699.1890""","=""0.0020""","=""1500""","=""""",,"=""67726.2533""","=""82024.59""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(3P<2>).7f""","=""2[4]*""","=""9/2""",,"=""""","=""L13998""",
Gd,1,"=""699.192""","=""""","=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
V,1,"=""699.2398""","=""0.0003""","=""8100""","=""""",,"=""26206.803""","=""40504.099""","=""3d4.(1D2).4s""","=""2D""","=""3/2""","=""3d3.(2P).4s.4p.(3P*)""","=""w 2P*""","=""1/2""",,"=""""","=""L15916""",
P,3,"=""699.2690""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4134""",
Th,2,"=""699.26966""","=""0.00006""","=""230""","=""""",,"=""9400.96493""","=""23697.6574""","=""6d3""","=""4F""","=""5/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""7/2""",,"=""""","=""L5951""",
Pa,1,"=""699.273""","=""""","=""3000s""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u2""",
S,1,"=""699.279""","=""0.005""","=""130""","=""9.32e+05""",D,"=""64888.9325""","=""79185.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""",,"=""T8595,T7952""","=""L7214,L7444,L7427""",
W,1,"=""699.296""","=""""","=""10""","=""""",,"=""31077.80""","=""45374.00""","=""""","=""""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153,L416""",
Th,2,"=""699.303709""","=""0.000020""","=""860""","=""""",,"=""7001.42117""","=""21297.41708""","=""6d3""","=""""","=""3/2""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""",,"=""""","=""L18702""",
Kr,1,"=""699.305""","=""""","=""2""","=""""",,"=""97085.193""","=""111381.160""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
Gd,1,"=""699.318""","=""""","=""21""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""699.327""","=""""","=""30""","=""5.8e+04""",D,"=""19826.04""","=""34121.68""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
Cs,2,"=""699.33350""","=""0.00008""","=""4400""","=""""",,"=""166140.2712""","=""180435.6602""","=""5p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<1/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L12126""",
I,1,"=""699.3382""","=""0.0003""","=""2300d""","=""""",,"=""64989.8299""","=""79285.1060""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""1/2""",,"=""""","=""L20632,L13998""",
W,1,"=""699.365""","=""""","=""4""","=""""",,"=""27670.48""","=""41965.24""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
Th,1,"=""699.39873""","=""0.00009""","=""110""","=""""",,"=""11802.93238""","=""26096.98491""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
S,1,"=""699.399""","=""0.006""","=""66""","=""3.11e+05""",D,"=""64891.3536""","=""79185.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""",,"=""T8595,T7952""","=""L7444""",
W,1,"=""699.406""","=""""","=""15""","=""5.2e+04""",D,"=""19827.68""","=""34121.68""","=""5d5.(4P).6s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""T4976""","=""L153""",
Zr,1,"=""699.432""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
S,1,"=""699.458""","=""0.005""","=""170""","=""1.55e+06""",D,"=""64892.5514""","=""79185.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""",,"=""T8595,T7952""","=""L7214,L7444,L7427""",
Th,1,"=""699.4736""","=""0.0005""","=""450""","=""""",,"=""17501.17592""","=""31793.69851""","=""5f.6d2.7s""","=""5I*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Th,1,"=""699.5141""","=""0.0005""","=""340""","=""""",,"=""21539.59257""","=""35831.2890""","=""""","=""*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Ta,1,"=""699.522""","=""""","=""110D""","=""""",,"=""10690.32""","=""24981.85""","=""5d3.6s2""","=""a 2G""","=""9/2""","=""5d3.6s.(5F).6p""","=""z 4F*""","=""7/2""",,"=""""","=""L3475""",
Ta,1,"=""699.549""","=""""","=""110D""","=""""",,"=""6049.42""","=""20340.39""","=""5d3.6s2""","=""a 4P""","=""1/2""","=""5d2.6s2.(3P).6p""","=""z 2S*""","=""1/2""",,"=""""","=""L3475""",
Th,2,"=""699.5930""","=""0.0007""","=""52""","=""""",,"=""12472.17734""","=""26762.27344""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f2.(3F).7s""","=""""","=""3/2""",,"=""""","=""L2372""",
Ac,2,"=""699.609""","=""0.003""","=""120""","=""1.85e+06""",C,"=""19015.283""","=""33304.935""","=""6d2""","=""3P""","=""1""","=""6d.7p""","=""3D*""","=""2""",,"=""T10463""","=""L7344""",
Nb,1,"=""699.611""","=""""","=""17c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""699.6202""","=""0.0005""","=""36""","=""""",,"=""18809.88631""","=""33099.41329""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Cu,2,"=""699.6556""","=""0.0005""","=""1400""","=""""",,"=""122745.9491""","=""137034.778""","=""3d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""","=""3d9.(2D<5/2>).5d""","=""2[7/2]""","=""3""",,"=""""","=""L869c171""",
Ti,1,"=""699.6637""","=""0.0006""","=""41""","=""""",,"=""18825.782""","=""33114.420""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,"=""""","=""L10989""",
Th,1,"=""699.67573""","=""0.00011""","=""80""","=""""",,"=""8111.004545""","=""22399.39666""","=""6d2.7s2""","=""1G""","=""4""","=""5f.6d2.7s""","=""3I*""","=""5""",,"=""""","=""L5951""",
Gd,2,"=""699.676""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Co,2,"=""699.7316""","=""0.0003""","=""140""","=""1.9e+07""",C+,"=""97062.844""","=""111350.080""","=""3d7.(4F).5p""","=""3F*""","=""4""","=""3d7.(4F).5d""","=""3G""","=""5""",,"=""T6999""","=""L9429c118""",
Th,1,"=""699.74130""","=""0.00009""","=""130""","=""""",,"=""14243.993748""","=""28531.05121""","=""5f.6d.7s2""","=""3P*""","=""1""","=""6d4""","=""""","=""2""",,"=""""","=""L5951""",
Ti,1,"=""699.7458""","=""0.0006""","=""3""","=""""",,"=""11639.8109""","=""25926.771""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""",,"=""""","=""L10989""",
Dy,1,"=""699.810""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""699.8247""","=""0.0005""","=""450""","=""""",,"=""15970.09583""","=""30255.45106""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Si,4,"=""699.836""","=""""","=""3w*""","=""3.65e+06""",B+,"=""313914.92""","=""328200.04""","=""2p6.6d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""5/2""",,"=""c33""","=""L6098""",
Si,4,"=""699.836""","=""""","=""3w*""","=""5.48e+07""",A,"=""313914.92""","=""328200.04""","=""2p6.6d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""7/2""",,"=""c33""","=""L6098""",
Si,4,"=""699.836""","=""""","=""3w*""","=""5.11e+07""",A,"=""313914.92""","=""328200.04""","=""2p6.6d""","=""2D""","=""3/2""","=""2p6.7f""","=""2F*""","=""5/2""",,"=""c33""","=""L6098""",
Rn,1,"=""699.890""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7432""",
Ag,2,"=""699.891""","=""0.020""","=""200""","=""""",,"=""134799.164""","=""149082.86""","=""4d8.(3F).5s.5p.(3P*)""","=""5D*""","=""1""","=""4d9.(2D<3/2>).7s""","=""2[3/2]""","=""1""",,"=""""","=""L647c114""",
Ti,2,"=""699.89305""","=""0.00015""","=""37""","=""""",,"=""25192.9650""","=""39476.9244""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(1D).4p""","=""y 2D*""","=""5/2""",,"=""""","=""u37""",
Mo,1,"=""699.9118""","=""""","=""12""","=""1.15e+06""",B,"=""26414.806""","=""40698.382""","=""4d5.(4P).5s""","=""b 3P""","=""1""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",,"=""T5293""","=""L10250,L3475""",
Th,3,"=""699.92706""","=""0.00005""","=""330""","=""""",,"=""7500.60523""","=""21783.86935""","=""5f.7s""","=""*""","=""3""","=""5f2""","=""3F""","=""4""",,"=""""","=""L5951""",
Th,1,"=""699.96238""","=""0.00008""","=""140""","=""""",,"=""18011.38030""","=""32293.92422""","=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Ga,2,"=""699.9668""","=""0.00074""","=""8hfs""","=""""",,"=""118727.870""","=""133010.30""","=""4s.5p""","=""3P*""","=""2""","=""4s.6s""","=""3S""","=""1""",,"=""""","=""L12180""",
Yb,2,"=""699.988""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""699.98836""","=""0.00015""","=""71""","=""4.7e+05""",D,"=""33095.941""","=""47377.955""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""T2578n""","=""L11631""",
Cu,1,"=""700.005""","=""0.014""","=""2h""","=""""",,"=""43137.229""","=""57419.24""","=""3d10.5s""","=""2S""","=""1/2""","=""3d10.7p""","=""2P*""","=""1/2""",,"=""""","=""L772""",
Ti,1,"=""700.0141""","=""0.0006""","=""2""","=""""",,"=""19937.855""","=""34219.338""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d4""","=""3P2""","=""0""",,"=""""","=""L10989""",
Ta,1,"=""700.021""","=""""","=""20""","=""""",,"=""23912.89""","=""38194.22""","=""5d4.(3G).6s""","=""a 4G""","=""9/2""","=""5d3.6s.(3H).6p""","=""z 4H*?""","=""11/2""",,"=""""","=""L3475""",
Gd,2,"=""700.075""","=""""","=""17""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Kr,1,"=""700.079""","=""""","=""7""","=""4.1e+05""",D+,"=""94092.8626""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T3600n,u41""","=""L7408""",
