element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pr,1,"=""698.012""","=""""","=""8c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ra,1,"=""698.0220""","=""0.0020""","=""20""","=""1.66e+07""",C+,"=""13715.779""","=""28038.00""","=""7s.6d""","=""3D""","=""1""","=""6d.7p""","=""3F*""","=""2""",,"=""T8002""","=""L3527""",
Th,1,"=""698.0543""","=""0.0005""","=""18""","=""""",,"=""25703.40095""","=""40024.9810""","=""""","=""*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Gd,1,"=""698.086""","=""""","=""26w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cr,1,"=""698.09033""","=""0.00010""","=""34""","=""1.5e+06""",D,"=""27935.2412""","=""42256.0868""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""4""","=""3d5.(6S).4d""","=""e 7D""","=""3""",,"=""T4288""","=""L14866""",
Hf,2,"=""698.091""","=""""","=""21""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""698.10832""","=""0.00006""","=""240""","=""""",,"=""13175.113345""","=""27495.58911""","=""5f.6d.7s2""","=""3G*""","=""4""","=""5f2.7s2""","=""3H""","=""4""",,"=""""","=""L5951""",
S,2,"=""698.1398""","=""0.0012""","=""1700""","=""3.21e+06""",C,"=""114279.320""","=""128599.168""","=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""",,"=""T3186c85""","=""L5883""",
Hf,1,"=""698.1610""","=""0.0015""","=""260""","=""""",,"=""24966.809""","=""39286.213""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""0""","=""5d2.(3F).6s.(a 4F).7s""","=""b 5F""","=""1""",,"=""""","=""L16323""",
W,1,"=""698.188""","=""""","=""6""","=""""",,"=""23455.02""","=""37773.96""","=""5d5.(4D).6s""","=""5D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Cl,1,"=""698.1886""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
