C.D.S.  -  SIMBAD4 rel 1.8  -  2026.04.23CEST16:43:44

region(CIRCLE, vega, 5d) &  otype = '*' & V < 7
-----------------------------------------------

Number of objects : 42

# ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;       pm       ;   plx    ;  radvel  ;  redshift  ;    cz    ; Mag U  ; Mag B  ; Mag V  ; Mag R  ; Mag G  ; Mag I  ;  spec. type   
--;-----------------------------------;---;---------------------------------------;----------------;----------;----------;------------;----------;--------;--------;--------;--------;--------;--------;---------------
25;HD 173086                          ;*  ;18 41 40.9309579560 +40 43 04.209185928; 19.619 -41.672 ;13.9197   ;~         ;~           ;~         ;     ~  ;6.96    ;6.64    ;     ~  ;6.559948;     ~  ;F0             
26;HD 173383                          ;SB*;18 43 16.5729311664 +39 18 00.213982596;  -0.773 -8.125 ;2.1723    ;-27.10    ;-0.000090   ;-27.10    ;9.940   ;8.030   ;6.440   ;     ~  ;5.857894;     ~  ;K5             
27;* eps01 Lyr B                      ;PM*;18 44 20.3118470592 +39 40 14.888435268;   2.156 49.339 ;20.4574   ;-33.1     ;-0.000110   ;-33.10    ;     ~  ;6.363   ;6.062   ;     ~  ;6.041749;     ~  ;F0V            
28;* eps01 Lyr A                      ;PM*;18 44 20.3437462368 +39 40 12.465005484;  13.900 62.391 ;20.6911   ;-31.0     ;-0.000103   ;-31.00    ;     ~  ;5.111   ;4.991   ;     ~  ;4.999559;     ~  ;A3V            
29;* eps02 Lyr A                      ;** ;18 44 22.7790116856 +39 36 45.772569396;   7.207 49.009 ;20.3393   ;-24.2     ;-0.000081   ;-24.20    ;     ~  ;5.40    ;5.23    ;     ~  ;5.216918;     ~  ;A6Vn           
30;* eps02 Lyr B                      ;PM*;18 44 22.9834616736 +39 36 46.061180640;   4.371 65.844 ;20.4544   ;-28       ;-0.000093   ;-28.00    ;     ~  ;5.58    ;5.35    ;     ~  ;5.400982;     ~  ;A7Vn           
31;V* XY Lyr                          ;LP*;18 38 06.4762596528 +39 40 05.975752044;    5.728 8.197 ;2.3986    ;-18.11    ;-0.000060   ;-18.11    ;9.09    ;7.67    ;6.05    ;3.84    ;4.229909;1.88    ;M4.5-M5+II     
32;HD 173936                          ;*  ;18 46 13.0104529296 +41 26 30.520025772;  -1.267 -0.166 ;3.8935    ;-19.1     ;-0.000064   ;-19.10    ;     ~  ;5.927   ;6.051   ;     ~  ;6.044167;     ~  ;B7III          
33;HD 175132                          ;*  ;18 52 07.2499320864 +41 22 59.680929396;  -3.764 -1.112 ;3.134     ;-24.13    ;-0.000080   ;-24.13    ;     ~  ;6.187   ;6.269   ;     ~  ;6.252293;     ~  ;B9IIIpSi       
34;V* V541 Lyr                        ;LP*;18 53 18.4882629072 +40 59 42.691025148; -15.288 18.484 ;3.8739    ;10.76     ;0.000036    ;10.76     ;     ~  ;8.10    ;6.71    ;     ~  ;5.057315;     ~  ;M5III          
35;HD 175841                          ;dS*;18 55 25.6563690240 +40 10 37.753709916;    1.240 1.756 ;4.2367    ;-10.385100;-0.000035   ;-10.38    ;     ~  ;6.91    ;6.82    ;     ~  ;6.814261;     ~  ;A2             
36;HD 176502                          ;Pu*;18 58 46.5878648352 +40 40 45.088297752;   1.235 -1.712 ;2.9058    ;-21.600201;-0.000072   ;-21.60    ;5.39    ;6.037   ;6.192   ;     ~  ;6.182846;     ~  ;B3V            
37;V* V547 Lyr                        ;LP*;19 00 19.0617573048 +40 41 02.400787860;  1.933 -15.327 ;3.2399    ;-7.87     ;-0.000026   ;-7.87     ;9.810   ;8.180   ;6.580   ;     ~  ;5.282724;     ~  ;M4-IIIa        
38;HD 176582                          ;Er*;18 59 12.2918170752 +39 13 02.360908524;  -0.592 -0.646 ;3.2506    ;-14.00    ;-0.000047   ;-14.00    ;5.52    ;6.248   ;6.403   ;     ~  ;6.394240;     ~  ;B5V            
39;HD 169778                          ;*  ;18 24 10.9482163704 +42 28 00.844455684;  4.815 -20.939 ;8.3645    ;-1.55     ;-0.000005   ;-1.55     ;     ~  ;6.736   ;6.652   ;     ~  ;6.650276;     ~  ;A2             
40;V* V533 Lyr                        ;EB?;18 36 45.5491181472 +43 13 18.538977360; 22.170 -10.594 ;7.9654    ;5.00      ;0.000017    ;5.00      ;     ~  ;6.449   ;6.211   ;     ~  ;6.164902;     ~  ;F0V            
41;HD 175740                          ;*  ;18 54 52.1770054656 +41 36 09.800403372;  -1.635 -2.689 ;12.3381   ;-9.52     ;-0.000032   ;-9.52     ;7.400   ;6.490   ;5.440   ;     ~  ;5.205865;     ~  ;G8III          
42;HD 175884                          ;*  ;18 55 35.7284589936 +42 03 36.996736644;  15.540 43.457 ;4.1441    ;-39.05    ;-0.000130   ;-39.05    ;     ~  ;7.857   ;6.552   ;     ~  ;6.157186;     ~  ;K0             
================================================================================

